Part_Label,Model:sklearn_SVM,AugName:mixup,Random_State:126.0,AugName:noAug,Model:LogisticRegression,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Norm_Order:first,Model:XGBmodel
Model:sklearn_SVM,,0.9282061551117522,0.9896672743519536,0.956253771237343,,0.8436400616425396,0.7783958014301343,0.88042452427706,0.9962610226952393,
AugName:mixup,0.9282061551117522,,0.907895601857152,,0.8332512465950498,0.9230822242576239,0.8520654996219278,0.9495670248624474,0.9483327320530824,0.9131151031296975
Random_State:126.0,0.9896672743519536,0.907895601857152,,0.9593822234833667,0.9879372267958617,0.7708416391123236,0.6875880605987339,0.8174058463245608,0.9923353341487813,0.99980856590657
AugName:noAug,0.956253771237343,,0.9593822234833667,,0.9072871906414057,0.8461509532858044,0.7562702188180564,0.8862531334858089,0.9770856069985031,0.9625588445532905
Model:LogisticRegression,,0.8332512465950498,0.9879372267958617,0.9072871906414057,,0.6822554971113992,0.5991937169733452,0.7338920708129621,0.9635584944738642,
ImblName:TomekLinks,0.8436400616425396,0.9230822242576239,0.7708416391123236,0.8461509532858044,0.6822554971113992,,,0.9966903160891756,0.842470590866034,0.7774076651608048
ImblName:noImbl,0.7783958014301343,0.8520654996219278,0.6875880605987339,0.7562702188180564,0.5991937169733452,,,0.9729648418825252,0.7676658422635334,0.6941560298078245
Prob_Threshold:0.5,0.88042452427706,0.9495670248624474,0.8174058463245608,0.8862531334858089,0.7338920708129621,0.9966903160891756,0.9729648418825252,,0.8817276437772439,0.823415115269779
Norm_Order:first,0.9962610226952393,0.9483327320530824,0.9923353341487813,0.9770856069985031,0.9635584944738642,0.842470590866034,0.7676658422635334,0.8817276437772439,,0.9935282299848782
Model:XGBmodel,,0.9131151031296975,0.99980856590657,0.9625588445532905,,0.7774076651608048,0.6941560298078245,0.823415115269779,0.9935282299848782,
