Part_Label,Random_State:126.0,Split_Ratio:0.1,Scaler:standard,FeatureNum:5.0,Model:random_forest,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,Norm_Order:last,FeatureNum:6.0,FeatureNum:7.0
Random_State:126.0,,0.9989685378750602,0.9999463963869785,0.9994495856489503,0.9979069229292615,0.9988499403807444,0.9989592784527376,0.9998554163464121,0.996164933658412,0.9985923120089274
Split_Ratio:0.1,0.9989685378750602,,0.9986574032949946,0.9996504204399532,0.994355181497654,0.9998391520941755,0.9998897659009215,0.9992956811711109,0.9991065402870903,0.9999600837065012
Scaler:standard,0.9999463963869785,0.9986574032949946,,0.9990973039791563,0.998279732158709,0.9984144294581353,0.9985508418870258,0.9998557480627104,0.9955883846615159,0.9982461712994951
FeatureNum:5.0,0.9994495856489503,0.9996504204399532,0.9990973039791563,,0.9957533609210047,0.9998391136106256,0.9998593064897342,0.999340471666177,,
Model:random_forest,0.9979069229292615,0.994355181497654,0.998279732158709,0.9957533609210047,,0.9943250172009247,0.9944449024133302,0.9972741612865939,0.9892047344838544,0.9937287718705162
FS_Method:biMaxInfgain,0.9988499403807444,0.9998391520941755,0.9984144294581353,0.9998391136106256,0.9943250172009247,,,0.9989389260401822,0.9989457752791012,0.9998139270602387
FS_Method:biMeanInfgain,0.9989592784527376,0.9998897659009215,0.9985508418870258,0.9998593064897342,0.9944449024133302,,,0.9990734001620919,0.9989337876692307,0.9998425486629215
Norm_Order:last,0.9998554163464121,0.9992956811711109,0.9998557480627104,0.999340471666177,0.9972741612865939,0.9989389260401822,0.9990734001620919,,0.9968905233218646,0.998995222755868
FeatureNum:6.0,0.996164933658412,0.9991065402870903,0.9955883846615159,,0.9892047344838544,0.9989457752791012,0.9989337876692307,0.9968905233218646,,
FeatureNum:7.0,0.9985923120089274,0.9999600837065012,0.9982461712994951,,0.9937287718705162,0.9998139270602387,0.9998425486629215,0.998995222755868,,
