Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:LogisticRegression,Split_Ratio:0.1,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,Model:GradientBoosting,Norm_Order:first,Random_State:5012.0,Scaler:minmax,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:8.0,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:XGBmodel,Model:random_forest,Norm_Order:last,Scaler:standard,ImblName:ADASYN,Prob_Threshold:0.35,Split_Ratio:0.2
FS_Method:biMaxInfgain,0.9589591560462652,0.7266468504856531,0.8786960416604148,0.9443273709516028,0.9881157342595663,0.7416632386839511,0.6757190011100035,0.8330403412882357,0.9912525069634045,0.9976276500232164,,,0.9999492001390653,0.9986901915038808,0.9999613574747727,0.9938091478183325,0.9952746032601055,0.9996953491375671,0.9802837637593199,,,0.9991741874498077,0.9997415108244575,0.9730217654941598,0.979390994650125,0.9942091097304024,0.9952423308567759,0.9989111563390625,0.9941189556065628,0.9573956256806019,0.9667714248489808,0.9995024332465688
FS_Method:biMeanInfgain,0.9588389024827305,0.7264151745071686,0.8786459789190514,0.9445283462727121,0.9878480576574752,0.7409776920302082,0.6748281698184802,0.8325015584617564,0.9912136453414178,0.9975039740186447,,,0.9999354677075668,0.9986211660158356,0.9999460377299385,0.9938823377456777,0.9952043647916088,0.9996607196134668,0.980111197381699,,,0.9991336086543203,0.9997045147795208,0.97332752968605,0.9796406669215078,0.9942799099733222,0.9953361121824995,0.9989071458859174,0.9941874306490747,0.957630658034037,0.9670034194484862,0.9995517822723501
FeatureNum:5.0,0.9581196356801729,0.7308143049440886,0.8810416457141874,0.9449641539995514,0.9894285508630138,0.7467693571818561,0.6816410507296511,0.8372248139766694,0.9909989961235979,0.9981364284409978,0.9999492001390653,0.9999354677075668,,,,0.9928794477937112,0.9959339397561294,0.9998706329811755,0.9817338913305824,0.9975843179715944,0.9999049963133589,,,0.971117576674921,0.9777248599667672,0.993387379289946,0.9942845499281986,0.998671567127547,0.9933442182704996,0.955291804255666,0.9648384128464694,0.9993631051503193
FeatureNum:6.0,0.9503249630163669,0.7544921566364998,0.8954243852830809,0.9500239250711572,0.9938474183620389,0.7741129010543512,0.7123326575172891,0.859330420485931,0.9865050178479895,0.9994093971491422,0.9986901915038808,0.9986211660158356,,,,0.9873221012013956,0.9985376023251546,0.9996385662091296,0.9886246224379114,0.9996080255527428,0.9993847551522816,,,0.9599948039554662,0.9678295767880646,0.9878926633820813,0.9892190429837323,0.9960147961982113,0.987828421734437,0.9422937185106741,0.953004435494495,0.9977134101437588
FeatureNum:7.0,0.9602049526188636,0.7253079844191043,0.8773695986169041,0.9425419668463094,0.9888167577206639,0.7424903878328745,0.6773010736656883,0.8335504212196999,0.9915941739974354,0.9979851551754056,0.9999613574747727,0.9999460377299385,,,,0.9938805407663439,0.9951932069415766,0.9997134322214841,0.9803220936615805,0.997067937404885,0.9997901515932729,,,0.9722887085792086,0.9788548301901424,0.994228258072098,0.9951962039149744,0.9990142543622564,0.9941216447353436,0.9572538346969469,0.9665311938849116,0.9992006558901229
Model:GradientBoosting,0.9778808633249638,,0.8242289467119618,0.9119369908516153,,0.6652537923321027,0.5949875986596542,0.7681736907932967,,0.9867744441284622,0.9938091478183325,0.9938823377456777,0.9928794477937112,0.9873221012013956,0.9938805407663439,,0.9784132888069164,0.9910218394596905,0.9526114320696037,0.9828185470473019,0.9919990626401894,0.9885846865108076,0.9919990626401894,0.989933861399734,0.9940192567754229,,,0.9972813430565599,0.9997246755994359,0.982790971989893,0.9883922777972456,0.9929013279446813
Norm_Order:first,0.932252474853132,0.7884888683990374,0.9181212163418775,0.9634177882068344,0.9932119953694406,0.8020100670673252,0.7404812236185289,0.8820939113621301,0.9765573153694653,0.9970354395788594,0.9952746032601055,0.9952043647916088,0.9959339397561294,0.9985376023251546,0.9951932069415766,0.9784132888069164,,0.9971219319879259,0.9947462212417151,0.9991088969550616,0.996285692545776,0.9982112310528337,0.996285692545776,0.9479549236060075,0.9563355728482623,0.9790785748740122,0.9817103617487309,,0.9789485919388796,0.9249748272748436,0.9376274804218948,0.9950677286087707
Random_State:5012.0,0.9554165183098767,0.7398094034262053,0.886604640435942,0.9470546388461445,0.9912956825594302,0.7571588770975403,0.6932695340655716,0.845673225966122,0.9895276139694898,0.9988296056046547,0.9996953491375671,0.9996607196134668,0.9998706329811755,0.9996385662091296,0.9997134322214841,0.9910218394596905,0.9971219319879259,,0.9845214087611499,0.9985556870611972,0.9999252456348944,0.9998350958060295,0.9999252456348944,0.9671658128694133,0.974234533509216,0.9915499244040551,0.9926133784780296,0.9978947649867985,0.9914974367198192,0.9506371351337122,0.9606211348563201,0.9989609428721353
Scaler:minmax,0.8981611580783405,0.8419759287962923,0.9467746800585081,0.9693127858695119,0.9904375064298374,0.8588889324340984,0.8044720337791819,0.9256684727983644,0.952515829550967,0.9873210563262448,0.9802837637593199,0.980111197381699,0.9817338913305824,0.9886246224379114,0.9803220936615805,0.9526114320696037,0.9947462212417151,0.9845214087611499,,0.991793703566697,0.9828760182061488,0.9871784316198771,0.9828760182061488,0.9105751621567898,0.921429679057352,0.9535097161004865,0.9574594412315611,0.9712782887611033,,0.8815972840194013,0.8972890550571707,0.9797747178622882
FS_Method:infgain,0.9453271490197792,0.7675109148988205,0.9024730184914365,0.9514158757561546,0.9960543155189112,0.7896969400722503,0.7303282273167787,0.8717310519850944,0.9834673729207118,0.9993149532640015,,,0.9975843179715944,0.9996080255527428,0.997067937404885,0.9828185470473019,0.9991088969550616,0.9985556870611972,0.991793703566697,,,0.9991701393361819,0.9981943714290349,0.9522961937842933,0.9608699711869958,0.9835965783869731,0.9848116480257403,0.993521835190635,0.9836102975667435,0.9337006898671982,0.9450312657938383,0.9957014935672526
FS_Method:noSelect,0.9586812421418089,0.7328283151445784,0.8814288022178809,0.9434412709325956,0.9912172788259331,0.7517675785208794,0.6881622308890022,0.8411326526654583,0.9911588116540673,0.9988286681277876,,,0.9999049963133589,0.9993847551522816,0.9997901515932729,0.9919990626401894,0.996285692545776,0.9999252456348944,0.9828760182061488,,,0.9996211715709751,1.0,0.9686555101970024,0.9756615957776773,0.9925888730290007,0.9932138036719629,0.9984717481749592,0.9925903066043388,0.9533064181617384,0.9628803763040523,0.9988167943827823
FeatureNum:4.0,0.9507774508996587,0.7508729335652916,0.8938557289403358,0.9511644411711873,0.9922539378203725,0.7669884283053585,0.7035563474586629,0.8538239385180837,0.9873974743313909,0.9988485733580764,0.9991741874498077,0.9991336086543203,,,,0.9885846865108076,0.9982112310528337,0.9998350958060295,0.9871784316198771,0.9991701393361819,0.9996211715709751,,,0.9635817869572973,0.9708868021470214,0.9892539914053748,0.9904722847641814,0.9966577325744105,0.9892406707509225,0.9455862149959301,0.9561466024796476,0.9986231378530804
FeatureNum:8.0,0.9586812421418089,0.7328283151445784,0.8814288022178809,0.9434412709325956,0.9912172788259331,0.7517675785208794,0.6881622308890022,0.8411326526654583,0.9911588116540673,0.9988286681277876,0.9997415108244575,0.9997045147795208,,,,0.9919990626401894,0.996285692545776,0.9999252456348944,0.9828760182061488,0.9981943714290349,1.0,,,0.9686555101970024,0.9756615957776773,0.9925888730290007,0.9932138036719629,0.9984717481749592,0.9925903066043388,0.9533064181617384,0.9628803763040523,0.9988167943827823
ImblName:RandomUnderSampler,0.966435386812102,0.577848229289006,0.7743867198115131,0.8877451007841817,0.9302686310558805,,,0.6870873138563478,0.9808616850382951,0.9568072211277227,0.9730217654941598,0.97332752968605,0.971117576674921,0.9599948039554662,0.9722887085792086,0.989933861399734,0.9479549236060075,0.9671658128694133,0.9105751621567898,0.9522961937842933,0.9686555101970024,0.9635817869572973,0.9686555101970024,,,0.9898829509537223,0.9889790735741839,0.9791821015633981,0.9898436899613459,,0.997188363331297,0.9748546953510112
ImblName:SMOTE,0.9716484700231938,0.5933269641606694,0.7857220667890557,0.8935730858471843,0.9413031251662238,,,0.7060768904138351,0.9864395899161993,0.9653611593823334,0.979390994650125,0.9796406669215078,0.9777248599667672,0.9678295767880646,0.9788548301901424,0.9940192567754229,0.9563355728482623,0.974234533509216,0.921429679057352,0.9608699711869958,0.9756615957776773,0.9708868021470214,0.9756615957776773,,,0.9939968890113237,0.9930222127875192,0.9850962765406628,0.9939602830441561,,0.9972044002432694,0.9805088239083384
Model:XGBmodel,0.9782840261006507,,0.8250519348707918,0.9123604616599463,,0.6669071416574274,0.5970076723427615,0.7697154351293086,,0.9873930405574387,0.9942091097304024,0.9942799099733222,0.993387379289946,0.9878926633820813,0.994228258072098,,0.9790785748740122,0.9915499244040551,0.9535097161004865,0.9835965783869731,0.9925888730290007,0.9892539914053748,0.9925888730290007,0.9898829509537223,0.9939968890113237,,,0.9976896503544765,0.9999673447804461,0.9827112995319316,0.9883293941676653,0.9933429970183644
Model:random_forest,0.9709505334736971,,0.8380025916043914,0.9229544517972517,,0.6768883374009459,0.6050226979167449,0.778424189108394,,0.9878459428303041,0.9952423308567759,0.9953361121824995,0.9942845499281986,0.9892190429837323,0.9951962039149744,,0.9817103617487309,0.9926133784780296,0.9574594412315611,0.9848116480257403,0.9932138036719629,0.9904722847641814,0.9932138036719629,0.9889790735741839,0.9930222127875192,,,0.9974066506288655,0.9988666037192508,0.9786814246179083,0.9852851413706388,0.9949794680267015
Norm_Order:last,0.9708681098427422,0.6947887256233318,0.855595143591686,0.9287317286174531,0.9851289514473491,0.7153337765166963,0.6497169910470716,0.8106555561175482,0.9961033915678995,0.9958025152485388,0.9989111563390625,0.9989071458859174,0.998671567127547,0.9960147961982113,0.9990142543622564,0.9972813430565599,,0.9978947649867985,0.9712782887611033,0.993521835190635,0.9984717481749592,0.9966577325744105,0.9984717481749592,0.9791821015633981,0.9850962765406628,0.9976896503544765,0.9974066506288655,,0.9977036940489404,0.9682476420328129,0.9759032001297533,0.9977288386219492
Scaler:standard,0.9788228377141441,0.649162866342555,0.8242035468059502,0.9115928059883562,0.9721121329755217,0.6664895017976585,0.5968447291865431,0.7693711853421575,0.9972219096054343,0.9874028593274204,0.9941189556065628,0.9941874306490747,0.9933442182704996,0.987828421734437,0.9941216447353436,0.9997246755994359,0.9789485919388796,0.9914974367198192,,0.9836102975667435,0.9925903066043388,0.9892406707509225,0.9925903066043388,0.9898436899613459,0.9939602830441561,0.9999673447804461,0.9988666037192508,0.9977036940489404,,0.9828884927603755,0.9884350911607931,0.9932319132669957
ImblName:ADASYN,0.9813971658115148,0.504648749234719,0.7143348392692996,0.8378610770041938,0.9156485272137728,,,0.6385936069801865,0.9785306940519168,0.9420081663232391,0.9573956256806019,0.957630658034037,0.955291804255666,0.9422937185106741,0.9572538346969469,0.982790971989893,0.9249748272748436,0.9506371351337122,0.8815972840194013,0.9337006898671982,0.9533064181617384,0.9455862149959301,0.9533064181617384,,,0.9827112995319316,0.9786814246179083,0.9682476420328129,0.9828884927603755,,0.9992806011977042,0.9567316761686084
Prob_Threshold:0.35,0.9803425887436308,0.5363074657536063,0.7401003475601323,0.85792896502472,0.926809352326439,0.5459610782327735,0.4685127685161573,,0.983239976354152,0.9521131140281212,0.9667714248489808,0.9670034194484862,0.9648384128464694,0.953004435494495,0.9665311938849116,0.9883922777972456,0.9376274804218948,0.9606211348563201,0.8972890550571707,0.9450312657938383,0.9628803763040523,0.9561466024796476,0.9628803763040523,0.997188363331297,0.9972044002432694,0.9883293941676653,0.9852851413706388,0.9759032001297533,0.9884350911607931,0.9992806011977042,,0.9665803278185114
Split_Ratio:0.2,0.9528016450865299,0.7325049832285966,0.884333268490213,0.9513353267061254,0.9845430838562583,0.7391422740346917,0.6701939983228199,0.8314312634223131,0.9886008895211597,,0.9995024332465688,0.9995517822723501,0.9993631051503193,0.9977134101437588,0.9992006558901229,0.9929013279446813,0.9950677286087707,0.9989609428721353,0.9797747178622882,0.9957014935672526,0.9988167943827823,0.9986231378530804,0.9988167943827823,0.9748546953510112,0.9805088239083384,0.9933429970183644,0.9949794680267015,0.9977288386219492,0.9932319132669957,0.9567316761686084,0.9665803278185114,
