Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:LogisticRegression,Split_Ratio:0.1,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,Model:GradientBoosting,Norm_Order:first,Random_State:5012.0,Scaler:minmax,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:8.0,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:XGBmodel,Model:random_forest,Norm_Order:last,Scaler:standard,ImblName:ADASYN,Prob_Threshold:0.35,Split_Ratio:0.2
AugName:gaussian_noise,,0.5196684745618774,,,0.9440243829103795,0.5807923640442367,0.5252946188603779,0.6878289645465685,0.9865925489635696,0.9560198583916556,0.9589591560462652,0.9588389024827305,0.9581196356801729,0.9503249630163669,0.9602049526188636,0.9778808633249638,0.932252474853132,0.9554165183098767,0.8981611580783405,0.9453271490197792,0.9586812421418089,0.9507774508996587,0.9586812421418089,0.966435386812102,0.9716484700231938,0.9782840261006507,0.9709505334736971,0.9708681098427422,0.9788228377141441,0.9813971658115148,0.9803425887436308,0.9528016450865299
Model:DTmodel,0.5196684745618774,,0.9630474932880513,0.8804568516742585,,0.9641505659896978,0.9300450479583923,0.9605554686665296,,0.7458797937212049,0.7266468504856531,0.7264151745071686,0.7308143049440886,0.7544921566364998,0.7253079844191043,,0.7884888683990374,0.7398094034262053,0.8419759287962923,0.7675109148988205,0.7328283151445784,0.7508729335652916,0.7328283151445784,0.577848229289006,0.5933269641606694,,,0.6947887256233318,0.649162866342555,0.504648749234719,0.5363074657536063,0.7325049832285966
AugName:mixup,,0.9630474932880513,,,0.8945238149505992,0.9282826723935388,0.8725674988357215,0.9641152421112534,0.8123462356474336,0.8869998460446852,0.8786960416604148,0.8786459789190514,0.8810416457141874,0.8954243852830809,0.8773695986169041,0.8242289467119618,0.9181212163418775,0.886604640435942,0.9467746800585081,0.9024730184914365,0.8814288022178809,0.8938557289403358,0.8814288022178809,0.7743867198115131,0.7857220667890557,0.8250519348707918,0.8380025916043914,0.855595143591686,0.8242035468059502,0.7143348392692996,0.7401003475601323,0.884333268490213
AugName:noAug,,0.8804568516742585,,,0.9319848470860473,0.8328803830644604,0.7577864092486376,0.9004542772360232,0.8951630406609418,0.9403588291715486,0.9443273709516028,0.9445283462727121,0.9449641539995514,0.9500239250711572,0.9425419668463094,0.9119369908516153,0.9634177882068344,0.9470546388461445,0.9693127858695119,0.9514158757561546,0.9434412709325956,0.9511644411711873,0.9434412709325956,0.8877451007841817,0.8935730858471843,0.9123604616599463,0.9229544517972517,0.9287317286174531,0.9115928059883562,0.8378610770041938,0.85792896502472,0.9513353267061254
Model:sklearn_SVM,0.9440243829103795,,0.8945238149505992,0.9319848470860473,,0.8122454153688996,0.7632594723333105,0.8871956104169195,,0.9962087717202897,0.9881157342595663,0.9878480576574752,0.9894285508630138,0.9938474183620389,0.9888167577206639,,0.9932119953694406,0.9912956825594302,0.9904375064298374,0.9960543155189112,0.9912172788259331,0.9922539378203725,0.9912172788259331,0.9302686310558805,0.9413031251662238,,,0.9851289514473491,0.9721121329755217,0.9156485272137728,0.926809352326439,0.9845430838562583
ImblName:TomekLinks,0.5807923640442367,0.9641505659896978,0.9282826723935388,0.8328803830644604,0.8122454153688996,,,0.9886969797619718,0.6739254942531135,0.7745585116494622,0.7416632386839511,0.7409776920302082,0.7467693571818561,0.7741129010543512,0.7424903878328745,0.6652537923321027,0.8020100670673252,0.7571588770975403,0.8588889324340984,0.7896969400722503,0.7517675785208794,0.7669884283053585,0.7517675785208794,,,0.6669071416574274,0.6768883374009459,0.7153337765166963,0.6664895017976585,,0.5459610782327735,0.7391422740346917
ImblName:noImbl,0.5252946188603779,0.9300450479583923,0.8725674988357215,0.7577864092486376,0.7632594723333105,,,0.9655431657917385,0.611590477430247,0.7161833681564107,0.6757190011100035,0.6748281698184802,0.6816410507296511,0.7123326575172891,0.6773010736656883,0.5949875986596542,0.7404812236185289,0.6932695340655716,0.8044720337791819,0.7303282273167787,0.6881622308890022,0.7035563474586629,0.6881622308890022,,,0.5970076723427615,0.6050226979167449,0.6497169910470716,0.5968447291865431,,0.4685127685161573,0.6701939983228199
Prob_Threshold:0.5,0.6878289645465685,0.9605554686665296,0.9641152421112534,0.9004542772360232,0.8871956104169195,0.9886969797619718,0.9655431657917385,,0.7740493120584174,0.8588656854806616,0.8330403412882357,0.8325015584617564,0.8372248139766694,0.859330420485931,0.8335504212196999,0.7681736907932967,0.8820939113621301,0.845673225966122,0.9256684727983644,0.8717310519850944,0.8411326526654583,0.8538239385180837,0.8411326526654583,0.6870873138563478,0.7060768904138351,0.7697154351293086,0.778424189108394,0.8106555561175482,0.7693711853421575,0.6385936069801865,,0.8314312634223131
Model:LogisticRegression,0.9865925489635696,,0.8123462356474336,0.8951630406609418,,0.6739254942531135,0.611590477430247,0.7740493120584174,,0.9882618076553715,0.9912525069634045,0.9912136453414178,0.9909989961235979,0.9865050178479895,0.9915941739974354,,0.9765573153694653,0.9895276139694898,0.952515829550967,0.9834673729207118,0.9911588116540673,0.9873974743313909,0.9911588116540673,0.9808616850382951,0.9864395899161993,,,0.9961033915678995,0.9972219096054343,0.9785306940519168,0.983239976354152,0.9886008895211597
Split_Ratio:0.1,0.9560198583916556,0.7458797937212049,0.8869998460446852,0.9403588291715486,0.9962087717202897,0.7745585116494622,0.7161833681564107,0.8588656854806616,0.9882618076553715,,0.9976276500232164,0.9975039740186447,0.9981364284409978,0.9994093971491422,0.9979851551754056,0.9867744441284622,0.9970354395788594,0.9988296056046547,0.9873210563262448,0.9993149532640015,0.9988286681277876,0.9988485733580764,0.9988286681277876,0.9568072211277227,0.9653611593823334,0.9873930405574387,0.9878459428303041,0.9958025152485388,0.9874028593274204,0.9420081663232391,0.9521131140281212,
