Part_Label,Split_Ratio:0.1,FeatureNum:5.0,Scaler:standard,Model:random_forest,FS_Method:biMeanInfgain,FS_Method:biMaxInfgain,Model:GradientBoosting,FeatureNum:6.0,Norm_Order:last,FeatureNum:7.0
Split_Ratio:0.1,,0.9981364284409978,0.9874028593274204,0.9878459428303041,0.9975039740186447,0.9976276500232164,0.9867744441284622,0.9994093971491422,0.9958025152485388,0.9979851551754056
FeatureNum:5.0,0.9981364284409978,,0.9933442182704996,0.9942845499281986,0.9999354677075684,0.9999492001390655,0.9928794477937112,,0.998671567127547,
Scaler:standard,0.9874028593274204,0.9933442182704996,,0.9988666037192516,0.9941874306490751,0.994118955606562,0.9997246755994353,0.9878284217344363,0.9977036940489395,0.9941216447353429
Model:random_forest,0.9878459428303041,0.9942845499281986,0.9988666037192516,,0.9953361121824993,0.9952423308567746,,0.9892190429837314,0.9974066506288655,0.9951962039149734
FS_Method:biMeanInfgain,0.9975039740186447,0.9999354677075684,0.9941874306490751,0.9953361121824993,,,0.9938823377456777,0.9986211660158356,0.9989071458859174,0.9999460377299385
FS_Method:biMaxInfgain,0.9976276500232164,0.9999492001390655,0.994118955606562,0.9952423308567746,,,0.9938091478183325,0.9986901915038808,0.9989111563390625,0.9999613574747727
Model:GradientBoosting,0.9867744441284622,0.9928794477937112,0.9997246755994353,,0.9938823377456777,0.9938091478183325,,0.987322101201396,0.9972813430565599,0.9938805407663442
FeatureNum:6.0,0.9994093971491422,,0.9878284217344363,0.9892190429837314,0.9986211660158356,0.9986901915038808,0.987322101201396,,0.9960147961982113,
Norm_Order:last,0.9958025152485388,0.998671567127547,0.9977036940489395,0.9974066506288655,0.9989071458859174,0.9989111563390625,0.9972813430565599,0.9960147961982113,,0.9990142543622568
FeatureNum:7.0,0.9979851551754056,,0.9941216447353429,0.9951962039149734,0.9999460377299385,0.9999613574747727,0.9938805407663442,,0.9990142543622568,
