Metric,Random_State:126.0,Split_Ratio:0.1,Scaler:standard,FeatureNum:5.0,Model:random_forest,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,Norm_Order:last,FeatureNum:6.0,FeatureNum:7.0
Accuracy,0.09756706559146545,0.09945827117786767,0.09549816905484738,0.09409475348974035,0.10275449430030108,0.09404151574149658,0.09391532713313523,0.09653119640967077,0.092795362408654,0.09400150638908997
Macro_F1,0.10049050069841013,0.10149385301666115,0.09796761194569682,0.09566107626005316,0.1057095417387948,0.09594846056873983,0.09585381024693776,0.09815219004470202,0.09434197611965528,0.096236677884586
Macro_Precision,0.07595935578653842,0.07972622250812346,0.070326618600929,0.0725671898896652,0.0710851283470573,0.07273845840252639,0.07215759016031185,0.07336358216314369,0.07166591549878468,0.07253010879615837
Macro_Recall,0.08375904228927468,0.08467597458025851,0.07729773728962874,0.0779359881062695,0.07955277565392022,0.07821900934415198,0.0782945963717508,0.07817932732996376,0.07723742441013795,0.07776251975471218
Weighted_F1,0.10888520247537103,0.11025755274053217,0.10900158419093454,0.10535331174625899,0.11925296176508123,0.10558200952577378,0.10536058380720896,0.10928594477390341,0.10346204203756257,0.10640199665160809
Weighted_Precision,0.07238913223080957,0.07620238699728707,0.06698971472647941,0.06933405850345409,0.06796008634796738,0.06985410234698114,0.06887039091604054,0.07031555901416546,0.06805774515951461,0.07011075653016802
