Metric,Split_Ratio:0.1,Split_Ratio:0.15,FeatureNum:6.0,FS_Method:noSelect,FeatureNum:8.0,FS_Method:biMaxInfgain,Scaler:standard,Norm_Order:last,Prob_Threshold:0.5,AugName:noAug
Accuracy,0.7845117845117846,0.7714719029374202,0.7604294950738916,0.7647502775600835,0.7647502775600835,0.7576064923014006,0.7620322339431534,0.7604420297667425,0.7604184937428472,0.7604184937428472
Macro_F1,0.7609098233357838,0.7408470881806609,0.7273014292284293,0.7325850555080244,0.7325850555080244,0.7257854012290005,0.7318196934548759,0.7276397712380135,0.727623815693262,0.727623815693262
Macro_Precision,0.7673952117237306,0.7536001756603994,0.7410633568613686,0.7468627401539141,0.7468627401539141,0.7366487647349168,0.7426852756287502,0.7415155233034697,0.7414731800147084,0.7414731800147084
Macro_Recall,0.7587877229080933,0.7363700048732944,0.7222740288364868,0.727247039897976,0.727247039897976,0.721339362368227,0.7276505612504943,0.7225170775068416,0.7224998347686519,0.7224998347686519
Weighted_F1,0.7831245195789674,0.768166238738676,0.755690593911249,0.7603019564606391,0.7603019564606391,0.7537363770978568,0.7587078115208273,0.7558709872842801,0.7558537801013382,0.7558537801013382
Weighted_Precision,0.7853947708431444,0.7715868107038168,0.7581381980994996,0.7631848959835946,0.7631848959835946,0.7551851606135421,0.7608976104711139,0.7584873064064606,0.7584542738429555,0.7584542738429555
