Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.5348578748515566,0.03361527577175658,1
FeatureNum,0.13849872026903845,0.015171128237314944,2
Prob_Threshold,0.06325787264729439,0.039953246700327336,3
FS_Method_biMaxInfgain,0.05382188655693062,0.006633752928358233,4
Model_sklearn_SVM,0.039553999955314854,0.021128415458857623,5
Scaler_minmax,0.03476944217405293,0.002783723848008152,6
Scaler_standard,0.03314808989061415,0.002624827684620773,7
Model_LogisticRegression,0.023622819265572473,0.007234191198754824,8
Model_random_forest,0.01955516216698119,0.0010643415399305132,9
FS_Method_infgain,0.018787544868404612,0.0030181736848372293,10
