Cluster,Part
1,AugMethod:gaussian_noise
3,AugMethod:mixup
3,AugMethod:noAUG
3,Model:sklearn_SVM
9,FeatureNum:4.0
9,FeatureNum:5.0
9,FeatureNum:6.0
9,FeatureNum:7.0
9,InfoGain:biMaxInfgain
9,InfoGain:biMeanInfgain
9,InfoGain:infgain
9,Model:random_forest
9,NormOrder:Last
9,Scaler:MinMax
9,Scaler:Standard
10,FeatureNum:8.0
10,ImblMethod:RandomUnderSampler
10,InfoGain:noSelect
10,Model:XGBmodel
10,NormOrder:First
5,ImblMethod:ADASYN
4,ImblMethod:SMOTE
4,Prob_Threshold:0.35
7,ImblMethod:TomekLinks
7,ImblMethod:noIMB
7,Prob_Threshold:0.5
2,Model:DTmodel
8,Model:GradientBoosting
8,Model:LogisticRegression
8,Split_Ratio:0.1
6,Split_Ratio:0.2
