Metric,AugMethod:noAUG,AugMethod:mixup,Model:sklearn_SVM,Model:GradientBoosting,Split_Ratio:0.1,ImblMethod:TomekLinks,Model:LogisticRegression,Model:XGBmodel,Prob_Threshold:0.5,ImblMethod:noIMB
Accuracy,0.04022671777603773,0.038027486481138295,0.05524680556412258,0.09962689505217939,0.0970958458262117,0.056826393807375544,0.06914717816549384,0.10411937130683892,0.07350382020190983,0.05613003947437058
Macro_F1,0.04282094767292219,0.042050184918684425,0.06197661059223004,0.11037928010969675,0.10517367615048019,0.07106613901287154,0.07252062921256869,0.11342132307190027,0.08133213776613192,0.07149965472753667
Macro_Precision,0.04204151835864485,0.04230753035268631,0.03322346471933515,0.05897914593607907,0.07495597783488663,0.06200274655516829,0.02639461030856617,0.0626160627400829,0.06793819251993934,0.06271392877421571
Macro_Recall,0.04873128898916664,0.04975177196201646,0.05531775356255824,0.07801241100879822,0.08822585227137181,0.07276126345621692,0.04921857261986244,0.08151536216761657,0.0787293327368911,0.07179308222077523
Weighted_F1,0.04046081346782429,0.03822834413812148,0.06467571192433148,0.1250261642627017,0.11319770948034957,0.0609717907578333,0.08481282501096792,0.12844231111465346,0.07822758902483506,0.06079441488272701
Weighted_Precision,0.04631765776496331,0.046416500028522684,0.03961018574053451,0.06147616476524137,0.07601198082426668,0.05974066269211132,0.03190685027737284,0.06337750463194884,0.065968932406962,0.05920756072840393
