Metric,AugMethod:noAUG,AugMethod:mixup,Model:sklearn_SVM,Model:GradientBoosting,Split_Ratio:0.1,ImblMethod:TomekLinks,Model:LogisticRegression,Model:XGBmodel,Prob_Threshold:0.5,ImblMethod:noIMB
Accuracy,0.727245670995671,0.7278398684648685,0.7220550283050282,0.6970425407925409,0.6997280497280498,0.7185488122988123,0.6950341325341325,0.691371128871129,0.7063915251415251,0.7161813880563881
Macro_F1,0.7131007907647784,0.7119484838908857,0.7017126635911173,0.6762261777680337,0.6797436299051441,0.6861962516873582,0.6766945258140132,0.6700192617222447,0.6787788044076634,0.6784695806692037
Macro_Precision,0.7226957396572263,0.719411853573333,0.7276276818126243,0.7159782685165776,0.7100105124987237,0.6997697199747196,0.7098934609610246,0.7088334859943783,0.6959934273554039,0.6954351969044394
Macro_Recall,0.7337630876068376,0.7296357727920229,0.7263609330484331,0.7131639363722697,0.7098089585311808,0.6936060660018993,0.7073882359924026,0.7058960113960113,0.6928107985121874,0.6831702081354859
Weighted_F1,0.7301001989954485,0.7304409779875871,0.7194051121017788,0.6882925042488587,0.6947572310480121,0.7144130426673854,0.6911603295838079,0.6824091000330076,0.7030913639485195,0.7096715773915774
Weighted_Precision,0.7617655659806148,0.7567217399599302,0.7653768742072332,0.7574688617830899,0.7501670617431139,0.7279539188967579,0.7517731548626038,0.7497509763954777,0.7280909860721769,0.7210679782479074
