Metric,FeatureNum:7.0,Scaler:standard,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FeatureNum:4.0,Norm_Order:first,Norm_Order:last,AugName:noAug,ImblName:noImbl,Split_Ratio:0.2
Accuracy,0.04943581999184727,0.041495008400261185,0.03855933452818639,0.04225645836732595,0.03654707499156676,0.0400074256908624,0.039992716777551764,0.03995364116696106,0.03995364116696106,0.03995364116696106
Macro_F1,0.04617075984394272,0.04157742057593676,0.03881322173275493,0.04185355508672134,0.036949327875430156,0.0386125785585318,0.038554305765576564,0.03853866813759326,0.03853866813759326,0.03853866813759326
Macro_Precision,0.04557413703427239,0.04385970369302511,0.04250199575566203,0.04140415879477705,0.03965625320488323,0.039471020650437234,0.03941998798211667,0.03939972951257367,0.03939972951257367,0.03939972951257367
Macro_Recall,0.043045343308093585,0.041656584019499565,0.03706839932875695,0.04078140208974736,0.036767459421822024,0.03758795479985352,0.03752530694571231,0.037513050740209046,0.037513050740209046,0.037513050740209046
Weighted_F1,0.047197063908496276,0.03944554324677356,0.03674118046312117,0.04097780113470125,0.03483258411679928,0.03805343617329406,0.03801692525357997,0.03799103577288892,0.03799103577288892,0.03799103577288892
Weighted_Precision,0.03976626530628148,0.038622700854271885,0.0358381359931104,0.03716589694792601,0.03403726759633589,0.0345700752572024,0.0345008671387111,0.03449540220943012,0.03449540220943012,0.03449540220943012
