Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.4165232163653642,0.04155323146750013,1
FeatureNum,0.1386089155937008,0.004420580634914067,2
Split_Ratio,0.07128898754514534,0.012812004890731402,3
Prob_Threshold,0.05682545044588988,0.005932637101128441,4
FS_Method_biMaxInfgain,0.03797646371317553,0.00211554360140047,5
Norm_Order_last,0.0324263807916604,0.0011145955162922708,6
Norm_Order_first,0.032303239508770794,0.0013134764519358564,7
FS_Method_infgain,0.03112254736496903,0.0021936284120625794,8
Model_LogisticRegression,0.02822581761948248,0.0013900235662891076,9
Scaler_standard,0.02748713552154605,0.005858562016846341,10
