Part,MeanImportance,StdImportance,Rank
Model,0.5357330547479623,0.03297062951409479,1
FS_Method,0.07881227103281345,0.004403473137924531,2
Norm_Order,0.0647296203004312,0.002362267691244563,3
Scaler,0.05400170033405686,0.009451233681931312,4
AugName,0.0,0.0,5
FeatureNum,0.0,0.0,5
ImblName,0.0,0.0,5
Prob_Threshold,0.0,0.0,5
Split_Ratio,0.0,0.0,5
