Metric,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Model:random_forest,Scaler:minmax,Norm_Order:first,AugName:noAug
Accuracy,0.784992784992785,0.775974025974026,0.7790404040404041,0.7683982683982684,0.7683982683982684,0.7612283549783551,0.7586580086580086,0.7582371332371333,0.756012506012506,0.7558621933621934
Macro_F1,0.748273166886386,0.7467204229648962,0.7345388384703232,0.7356313689520211,0.7356313689520211,0.7283362731140328,0.7246244426776957,0.7200801177636736,0.7217924173815432,0.7216124925175651
Macro_Precision,0.7759378399228622,0.7593871022845581,0.7761749540598353,0.7548033990896981,0.7548033990896981,0.7441685768065528,0.7397753432695536,0.7439344750730148,0.7396587619847255,0.7394603166825661
Macro_Recall,0.7371913580246914,0.7408950617283951,0.7219598765432099,0.7290277777777777,0.7290277777777777,0.7216435185185185,0.7185699588477366,0.7117781207133058,0.7154681069958848,0.7153129286694102
Weighted_F1,0.7769185630103393,0.7722664975652273,0.7669299626028802,0.7630871392066677,0.7630871392066677,0.7563625354452439,0.7533391489991674,0.7506913678781203,0.7506167069209044,0.7504575030624523
Weighted_Precision,0.7823888397800833,0.7741826507151461,0.7783284474016277,0.7680015446669796,0.7680015446669796,0.7590138074068095,0.7554914608913146,0.7558212047528523,0.7546468236261125,0.7544832389190813
