Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.36207924724003293,0.01978705386985287,1
Split_Ratio,0.2486385796734734,0.028098532497318626,2
FeatureNum,0.10507108021494548,0.007709675477178106,3
FS_Method_biMaxInfgain,0.054147076351128504,0.007489244435009719,4
Prob_Threshold,0.04321635616903214,0.01241854065456502,5
Scaler_minmax,0.03111062912801642,0.004641088631503816,6
Scaler_standard,0.029663009677037357,0.0026766110123252547,7
Model_XGBmodel,0.022316102025266127,0.003114400861751858,8
Model_sklearn_SVM,0.0208577558474661,0.00682859923068528,9
Model_LogisticRegression,0.020529575506459424,0.00418813315730392,10
