Cluster,Part
7,AugName:noAug
7,ImblName:noImbl
7,Norm_Order:first
7,Norm_Order:last
7,Prob_Threshold:0.5
10,FS_Method:biMaxInfgain
10,FS_Method:noSelect
10,FeatureNum:6.0
10,FeatureNum:8.0
5,FS_Method:infgain
5,FeatureNum:5.0
5,Model:GradientBoosting
5,Model:random_forest
5,Split_Ratio:0.2
6,FeatureNum:4.0
6,Model:XGBmodel
6,Scaler:standard
6,Split_Ratio:0.25
9,FeatureNum:7.0
9,Scaler:minmax
9,Split_Ratio:0.15
1,Model:DTmodel
3,Model:LogisticRegression
8,Model:sklearn_SVM
2,Split_Ratio:0.1
4,Split_Ratio:0.3
