Metric,Model:LogisticRegression,Split_Ratio:0.1,Model:sklearn_SVM,Model:XGBmodel,Split_Ratio:0.15,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Scaler:standard
Accuracy,0.7919207727936176,0.7845117845117846,0.7833209454976696,0.7761549453898593,0.7714719029374202,0.7666264969066693,0.7647502775600835,0.7647502775600835,0.7647380905732198,0.7620322339431534
Macro_F1,0.7590811215121792,0.7609098233357838,0.7442595739624219,0.747839455864988,0.7408470881806609,0.7351980057773452,0.7325850555080244,0.7325850555080244,0.7329632850837444,0.7318196934548759
Macro_Precision,0.7797441674145832,0.7673952117237306,0.774076730263964,0.7573250504971679,0.7536001756603994,0.7463836544795635,0.7468627401539141,0.7468627401539141,0.7452364253578359,0.7426852756287502
Macro_Recall,0.7509721537428733,0.7587877229080933,0.7335116219584339,0.7439094695463553,0.7363700048732944,0.7303621358229428,0.727247039897976,0.727247039897976,0.7280367273444345,0.7276505612504943
Weighted_F1,0.7857394577087782,0.7831245195789674,0.7742909069341779,0.7731306161093896,0.768166238738676,0.7625375002115079,0.7603019564606391,0.7603019564606391,0.7605227156626849,0.7587078115208273
Weighted_Precision,0.7898379226947696,0.7853947708431444,0.7807389243509113,0.774696864025051,0.7715868107038168,0.7636913683245488,0.7631848959835946,0.7631848959835946,0.7623782977993089,0.7608976104711139
