Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.4377749887205522,0.03990636900875044,1
Split_Ratio,0.18840222818093785,0.006880907266189217,2
FeatureNum,0.10381475588864386,0.012536025364847714,3
FS_Method_biMaxInfgain,0.043717791507076297,0.009556115786379337,4
Scaler_standard,0.03276429079164416,0.0051212633534227945,5
Scaler_minmax,0.03239636933970353,0.00518370942689813,6
Model_LogisticRegression,0.029770704730682846,0.010269098633646561,7
Model_sklearn_SVM,0.029735773722097767,0.016664534711717204,8
FS_Method_infgain,0.02853099209141439,0.0011350271711841433,9
Model_XGBmodel,0.024397605966069495,0.005294275805217563,10
