Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.47495246384640954,0.04077546089404647,1
FeatureNum,0.13461584792561096,0.008044853643630365,2
Split_Ratio,0.06917506666838376,0.011240882464874532,3
Model_LogisticRegression,0.040824882160000846,0.003949742866253404,4
FS_Method_biMaxInfgain,0.03740904293488061,0.003112884649289709,5
Norm_Order_last,0.032266113347634864,0.0024813542392374366,6
Norm_Order_first,0.03207883527295504,0.002503368619224312,7
FS_Method_infgain,0.02927772548481869,0.0007523242397966359,8
Scaler_minmax,0.029171494715924732,0.0026085643913643284,9
Scaler_standard,0.028636529322744325,0.0024529919042022862,10
