Part_Label,Split_Ratio:0.1,FeatureNum:6.0,FS_Method:biMaxInfgain,Scaler:minmax,FeatureNum:4.0,FS_Method:noSelect,FeatureNum:8.0,Norm_Order:last,ImblName:noImbl,Prob_Threshold:0.5
Split_Ratio:0.1,,0.9900584793652398,0.993870018016898,0.9846938285501615,0.9847970461590173,0.9799840715098087,0.9799840715098087,0.9894345890360517,0.9891432240670709,0.9891432240670709
FeatureNum:6.0,0.9900584793652398,,0.9993011789724834,0.9989022216341422,,0.9971392496683013,,0.9998157760766568,0.9997908563501353,0.9997908563501353
FS_Method:biMaxInfgain,0.993870018016898,0.9993011789724834,,0.9966381258141013,0.9970299962489381,,0.9940525403044053,0.9988081163701612,0.9987071713352128,0.9987071713352128
Scaler:minmax,0.9846938285501615,0.9989022216341422,0.9966381258141013,,0.9999260411334473,0.9995101201140179,0.9995101201140179,0.9994264645543525,0.9994930873929152,0.9994930873929152
FeatureNum:4.0,0.9847970461590173,,0.9970299962489381,0.9999260411334473,,0.9994448981414275,,0.9995549719623884,0.999615651665311,0.999615651665311
FS_Method:noSelect,0.9799840715098087,0.9971392496683013,,0.9995101201140179,0.9994448981414275,,1.0,0.9981515492847582,0.9982756742729584,0.9982756742729584
FeatureNum:8.0,0.9799840715098087,,0.9940525403044053,0.9995101201140179,,1.0,,0.9981515492847582,0.9982756742729584,0.9982756742729584
Norm_Order:last,0.9894345890360517,0.9998157760766568,0.9988081163701612,0.9994264645543525,0.9995549719623884,0.9981515492847582,0.9981515492847582,,0.9999977497011038,0.9999977497011038
ImblName:noImbl,0.9891432240670709,0.9997908563501353,0.9987071713352128,0.9994930873929152,0.999615651665311,0.9982756742729584,0.9982756742729584,0.9999977497011038,,1.0
Prob_Threshold:0.5,0.9891432240670709,0.9997908563501353,0.9987071713352128,0.9994930873929152,0.999615651665311,0.9982756742729584,0.9982756742729584,0.9999977497011038,1.0,
