Part_Label,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Split_Ratio:0.1,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,FS_Method:biMaxInfgain,Scaler:standard
Model:LogisticRegression,,,,0.9422461652427029,,0.9900458301060198,0.9900458301060198,0.968181418954346,0.9700617132569933,0.9739209209970277
Model:XGBmodel,,,,0.9866377501628719,,0.9973152690081376,0.9973152690081376,0.9976992673749268,0.9984675380720238,0.998998536722296
Model:sklearn_SVM,,,,0.8887169214938093,,0.9620151064734598,0.9620151064734598,0.927111568277211,0.9307128649131791,0.9359556876958315
Split_Ratio:0.1,0.9422461652427029,0.9866377501628719,0.8887169214938093,,0.9931996506288358,0.9799840715098087,0.9799840715098087,0.9953328408749896,0.993870018016898,0.992786333723529
Model:random_forest,,,,0.9931996506288358,,0.9927662518185314,0.9927662518185314,0.9994754524811044,0.9998164598512037,0.9993071129182757
FS_Method:noSelect,0.9900458301060198,0.9973152690081376,0.9620151064734598,0.9799840715098087,0.9927662518185314,,1.0,0.9935160197177033,,0.9958409897781165
FeatureNum:8.0,0.9900458301060198,0.9973152690081376,0.9620151064734598,0.9799840715098087,0.9927662518185314,1.0,,,0.9940525403043988,0.9958409897781165
FeatureNum:5.0,0.968181418954346,0.9976992673749268,0.927111568277211,0.9953328408749896,0.9994754524811044,0.9935160197177033,,,0.9998644917419537,0.9996881567709267
FS_Method:biMaxInfgain,0.9700617132569933,0.9984675380720238,0.9307128649131791,0.993870018016898,0.9998164598512037,,0.9940525403043988,0.9998644917419537,,0.9997985251990322
Scaler:standard,0.9739209209970277,0.998998536722296,0.9359556876958315,0.992786333723529,0.9993071129182757,0.9958409897781165,0.9958409897781165,0.9996881567709267,0.9997985251990322,
