Split_Ratio,LogDir,Norm_First,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
0.2,log/pimaindians_diabetes/8/noSelect/noAUG__noIMB__Standard/sklearn_SVM,False,0.5,2026-01-30 21:13:48,1769764270122_202fd60e,1769764270122_202fd60e17697788280661832,0.735930735930736,0.7116278150260853,0.6859259259259259,0.6934684092516895,0.7279996520010593,0.735930735930736,0.7275386163651243,0.735930735930736,0.735930735930736,0.735930735930736,0.7200786875101234,Last,8,noSelect,noAUG__noIMB__Standard,sklearn_SVM,Standard,noAUG,noIMB
0.2,log/pimaindians_diabetes/5/infgain/Standard__mixup__noIMB/DTmodel,True,0.5,2026-01-30 17:49:23,1769764270122_202fd60e,1769764270122_202fd60e17697665638375756,0.6645021645021645,0.6275391710082091,0.6224074074074074,0.6243380626928848,0.6586428796710968,0.6645021645021645,0.6610222872301637,0.6645021645021645,0.6645021645021645,0.6645021645021645,0.6494638640979943,First,5,infgain,Standard__mixup__noIMB,DTmodel,Standard,mixup,noIMB
0.2,log/pimaindians_diabetes/5/infgain/Standard__mixup__noIMB/sklearn_SVM,True,0.35,2026-01-30 17:49:21,1769764270122_202fd60e,1769764270122_202fd60e17697665616932895,0.7424242424242425,0.7166209607386079,0.7136419753086419,0.7148747058281232,0.7406635551020578,0.7424242424242425,0.7413238244485516,0.7424242424242425,0.7424242424242425,0.7424242424242423,0.7324921256261288,First,5,infgain,Standard__mixup__noIMB,sklearn_SVM,Standard,mixup,noIMB
0.2,log/pimaindians_diabetes/7/biMeanInfgain/Standard__gaussian_noise__noIMB/XGBmodel,True,0.35,2026-01-30 19:10:38,1769764270122_202fd60e,1769764270122_202fd60e17697714383902248,0.7034632034632035,0.6871693121693122,0.6978395061728396,0.6872151098445939,0.7223877613488003,0.7034632034632035,0.7081009095514371,0.7034632034632035,0.7034632034632035,0.7034632034632035,0.7014223422637812,First,7,biMeanInfgain,Standard__gaussian_noise__noIMB,XGBmodel,Standard,gaussian_noise,noIMB
0.2,log/pimaindians_diabetes/5/infgain/Standard__mixup__noIMB/random_forest,True,0.5,2026-01-30 17:49:23,1769764270122_202fd60e,1769764270122_202fd60e17697665634449054,0.7337662337662337,0.7089248418665712,0.6856790123456791,0.6923134562135935,0.7264749691172893,0.7337662337662337,0.7259701762444005,0.7337662337662337,0.7337662337662337,0.7337662337662337,0.7183569207081465,First,5,infgain,Standard__mixup__noIMB,random_forest,Standard,mixup,noIMB
