Part_Label,Split_Ratio:0.1,FeatureNum:5.0,Scaler:standard,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,Norm_Order:last,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0,FeatureNum:6.0
Split_Ratio:0.1,,0.9998790373804828,0.9992026050155894,0.9991944871689693,0.9992417123528734,0.9991936717644776,0.9971612929640052,0.9971612929640052,0.9980173506012308,0.9974200945111938
FeatureNum:5.0,0.9998790373804828,,0.9996763480662835,0.9991867713966958,0.9994336898660927,0.9996763058363027,0.9975577710875554,,,
Scaler:standard,0.9992026050155894,0.9996763480662835,,0.998221592235706,0.9988338031231105,0.9997662788379982,0.9968674307705143,0.9968674307705143,0.997395238599098,0.9964044365604063
FS_Method:biMaxInfgain,0.9991944871689693,0.9991867713966958,0.998221592235706,,,0.9990634313727421,,0.9992471658490903,0.9996961313097447,0.9994685013650827
FS_Method:biMeanInfgain,0.9992417123528734,0.9994336898660927,0.9988338031231105,,,0.9995556645145879,,0.9993256507137536,0.9996659909888835,0.9993059479553956
Norm_Order:last,0.9991936717644776,0.9996763058363027,0.9997662788379982,0.9990634313727421,0.9995556645145879,,0.9983331274100505,0.9983331274100505,0.9986678378731522,0.997915927375977
FS_Method:noSelect,0.9971612929640052,0.9975577710875554,0.9968674307705143,,,0.9983331274100505,,1.0,0.9998901833164743,0.9998303091876938
FeatureNum:8.0,0.9971612929640052,,0.9968674307705143,0.9992471658490903,0.9993256507137536,0.9983331274100505,1.0,,,
FeatureNum:7.0,0.9980173506012308,,0.997395238599098,0.9996961313097447,0.9996659909888835,0.9986678378731522,0.9998901833164743,,,
FeatureNum:6.0,0.9974200945111938,,0.9964044365604063,0.9994685013650827,0.9993059479553956,0.997915927375977,0.9998303091876938,,,
