Metric,AugMethod:noAUG,AugMethod:mixup,Model:sklearn_SVM,Split_Ratio:0.1,Model:GradientBoosting,ImblMethod:TomekLinks,Model:LogisticRegression,Model:XGBmodel,Prob_Threshold:0.5,ImblMethod:RandomUnderSampler
Accuracy,0.727262321012321,0.728125,0.7236346986346986,0.7002705627705628,0.6964035964035964,0.7185817654567654,0.6952568265068265,0.6923909423909423,0.7066294816294816,0.6845134032634033
Macro_F1,0.7131225093632203,0.7121989076409838,0.7035085826868677,0.6800749419678982,0.6754044598787402,0.6860069808371316,0.676888402790102,0.6710449100001202,0.678777118639507,0.6742539099649864
Macro_Precision,0.722720509057887,0.7198264774277064,0.7291894203137086,0.7103731639844634,0.7146000666081928,0.6995673131033282,0.7099785428323154,0.7098833362973214,0.6961334311393456,0.7018576299136213
Macro_Recall,0.7337888770180436,0.7299624881291548,0.7280318732193731,0.7100947293447294,0.7122883428300095,0.693457383665717,0.7075173907882242,0.7067467948717949,0.692968542260209,0.7094669495884773
Weighted_F1,0.7301172258581358,0.7306777043590963,0.7211191287466638,0.6952329732980695,0.6875640311243457,0.7143478541179075,0.6914050728073929,0.6836441540195994,0.7031409385559104,0.6850787682376922
Weighted_Precision,0.7617910998612114,0.7571392701090747,0.7668299838947112,0.7504382070026308,0.7559711641939029,0.7278053257374593,0.7518770928914593,0.7508460443115459,0.7282429006167762,0.7491011121229284
