Part_Label,Scaler:standard,Norm_Order:first,FS_Method:infgain,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Norm_Order:last,FS_Method:biMaxInfgain,FeatureNum:4.0,Model:random_forest
Scaler:standard,,0.9985630522641723,0.9986167670355448,0.9985683098145076,0.9985683098145076,0.9985683098145076,0.9985733110926515,0.993616315177081,0.9962151126579112,0.9808498984367668
Norm_Order:first,0.9985630522641723,,0.9975612701684317,0.9999998684336375,0.9999998684336375,0.9999998684336375,,0.9975085182786352,0.9937917847114743,0.98881576848926
FS_Method:infgain,0.9986167670355448,0.9975612701684317,,0.9975795584696308,0.9975795584696308,0.9975795584696308,0.9975976081322837,,0.9990225514442838,0.9764242666270371
AugName:noAug,0.9985683098145076,0.9999998684336375,0.9975795584696308,,1.0,1.0,0.9999998680825894,0.997490326712744,0.9938287417562257,0.988791025716974
ImblName:noImbl,0.9985683098145076,0.9999998684336375,0.9975795584696308,1.0,,1.0,0.9999998680825894,0.997490326712744,0.9938287417562257,0.988791025716974
Prob_Threshold:0.5,0.9985683098145076,0.9999998684336375,0.9975795584696308,1.0,1.0,,0.9999998680825894,0.997490326712744,0.9938287417562257,0.988791025716974
Norm_Order:last,0.9985733110926515,,0.9975976081322837,0.9999998680825894,0.9999998680825894,0.9999998680825894,,0.9974718478958755,0.9938654860410449,0.9887659892531137
FS_Method:biMaxInfgain,0.993616315177081,0.9975085182786352,,0.997490326712744,0.997490326712744,0.997490326712744,0.9974718478958755,,0.9836106440956018,0.9964201163564433
FeatureNum:4.0,0.9962151126579112,0.9937917847114743,0.9990225514442838,0.9938287417562257,0.9938287417562257,0.9938287417562257,0.9938654860410449,0.9836106440956018,,0.967463353325373
Model:random_forest,0.9808498984367668,0.98881576848926,0.9764242666270371,0.988791025716974,0.988791025716974,0.988791025716974,0.9887659892531137,0.9964201163564433,0.967463353325373,
