Part_Label,Model:LogisticRegression,FeatureNum:4.0,Split_Ratio:0.2,Model:XGBmodel,Scaler:standard,Model:GradientBoosting,FS_Method:infgain,FeatureNum:5.0,Model:random_forest,Norm_Order:last
Model:LogisticRegression,,0.9987926728309847,0.9958514627782347,,0.9937028926001972,,0.9979357548253222,0.975407736234443,,0.9936002180125543
FeatureNum:4.0,0.9987926728309847,,0.9971975942344041,0.9976547914107823,0.9962151126579116,0.9869902136301307,0.9990225514442828,,0.967463353325373,0.9938654860410461
Split_Ratio:0.2,0.9958514627782347,0.9971975942344041,,0.9940837969926658,0.9996772984789299,0.9962246283959499,0.9992636863802861,0.9887657958216357,0.9821087181871831,0.999088099601731
Model:XGBmodel,,0.9976547914107823,0.9940837969926658,,0.9946022810118399,,0.9963881875155542,0.9683239679762268,,0.9892986714699091
Scaler:standard,0.9937028926001972,0.9962151126579116,0.9996772984789299,0.9946022810118399,,0.9964026225991752,0.9986167670355448,0.9888651671886053,0.9808498984367668,0.9985733110926515
Model:GradientBoosting,,0.9869902136301307,0.9962246283959499,,0.9964026225991752,,0.9925663612934919,0.9978958368527416,,0.9983371309610918
FS_Method:infgain,0.9979357548253222,0.9990225514442828,0.9992636863802861,0.9963881875155542,0.9986167670355448,0.9925663612934919,,0.9832960394525391,0.9764242666270371,0.9975976081322837
FeatureNum:5.0,0.975407736234443,,0.9887657958216357,0.9683239679762268,0.9888651671886053,0.9978958368527416,0.9832960394525391,,0.9978557586030969,0.993468607690005
Model:random_forest,,0.967463353325373,0.9821087181871831,,0.9808498984367668,,0.9764242666270371,0.9978557586030969,,0.9887659892531133
Norm_Order:last,0.9936002180125543,0.9938654860410461,0.999088099601731,0.9892986714699091,0.9985733110926515,0.9983371309610918,0.9975976081322837,0.993468607690005,0.9887659892531133,
