Metric,Mean,Std
Accuracy,0.6757391913641912,0.09715319805562325
Macro_Precision,0.6994414839872198,0.06763309438568696
Macro_Recall,0.7044980116334283,0.08185380518311121
Macro_F1,0.6646899744773839,0.10214110579307652
Weighted_Precision,0.7474936101961293,0.0682548290668405
Weighted_Recall,0.6757391913641912,0.09715319805562325
Weighted_F1,0.6733583148891034,0.11338172219164806
Micro_Precision,0.6757391913641912,0.09715319805562325
Micro_Recall,0.6757391913641912,0.09715319805562325
Micro_F1,0.6757391913641912,0.09715319805562325
Integrated_Score,0.6861462305323273,0.08896896886856134
