Metric,Split_Ratio:0.1,ImblName:ADASYN,Prob_Threshold:0.35,Scaler:standard,FS_Method:biMaxInfgain,ImblName:SMOTE,FS_Method:biMeanInfgain,Norm_Order:last,Model:random_forest,FeatureNum:5.0
Accuracy,0.07983049543111408,0.09000666362854454,0.08557017688804583,0.07798755012013805,0.077693082454989,0.07979222773510025,0.07688046207396121,0.07962270597508624,0.08949969819124921,0.07711433974200214
Macro_F1,0.08306427343580146,0.09511612938426706,0.08994874931689995,0.08117604227362842,0.08051933191887085,0.08228927193604249,0.07949906782446359,0.08241146133510259,0.09379630122817906,0.07912259968200631
Macro_Precision,0.062391657691629444,0.06395761900054275,0.060425493846522384,0.05969742708859594,0.06126721681843446,0.05964872185008826,0.05917657201726771,0.06081200039144579,0.05753421690306457,0.059051949165163535
Macro_Recall,0.06894807698552217,0.07085649635792768,0.06791655833057522,0.06661896762767903,0.067182809813335,0.06628051444566596,0.06645698119867713,0.06701386183754489,0.06791255724497683,0.06495428865983222
Weighted_F1,0.09216174020335179,0.10979105551185334,0.10339086745251622,0.0907551253878043,0.08956704747450421,0.09297138281812226,0.0885615554671568,0.09287309846772826,0.10883755274831451,0.08874765296730165
Weighted_Precision,0.06446809320912633,0.06803472391967189,0.06400420647962622,0.061838497217535406,0.06388173747828212,0.06255338077333691,0.06126360890712597,0.06321274477473122,0.05884288066402228,0.061118551953940906
