Metric,Model:sklearn_SVM,AugName:mixup,AugName:noAug,Model:LogisticRegression,ImblName:noImbl,ImblName:TomekLinks,Prob_Threshold:0.5,Scaler:standard,FeatureNum:5.0,Norm_Order:first
Accuracy,0.729474691974692,0.7250520313020313,0.7206907675657676,0.700008325008325,0.7209630647130647,0.7178862803862803,0.714164307914308,0.6926413863913864,0.6900477994227994,0.6925567488067488
Macro_F1,0.7094315537062178,0.7100916986388591,0.7081225430220741,0.6858119827786741,0.6936452485734006,0.6937860104201049,0.6917512087334338,0.6746680005248203,0.6739954856260593,0.6749632096420641
Macro_Precision,0.739203291082259,0.7203769812971158,0.7214702247600867,0.7292768621027008,0.7112997800621441,0.7092494955076342,0.7071604894078898,0.708411090936385,0.70468237279857,0.7023697993774873
Macro_Recall,0.7316822768281103,0.7281553300094967,0.7306495429724597,0.7217764126305792,0.7012362001424501,0.7042116274928775,0.7040680397277619,0.704619341563786,0.7038614540466392,0.7007244776828111
Weighted_F1,0.7260942008717727,0.7275090899743147,0.723455837658592,0.6959806598841363,0.7182488548142796,0.7165180318564701,0.7133368047317243,0.6878566015579605,0.6869342498518327,0.6902818534626659
Weighted_Precision,0.7731117521722403,0.757068828185772,0.760883676266854,0.772870075404823,0.7381203697538213,0.7388109453692085,0.7380689675386108,0.7478606728699254,0.7452812289929677,0.7414100020381953
