Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.5972526118699123,0.03945378450947936,1
FeatureNum,0.12981233435715855,0.01524428425535801,2
FS_Method_biMaxInfgain,0.052487268286634865,0.010510556380241908,3
Scaler_minmax,0.03515235414003917,0.007092160844185958,4
Scaler_standard,0.03440908430655873,0.004925316380282001,5
Model_LogisticRegression,0.02936072486458678,0.016107329631575584,6
Model_sklearn_SVM,0.028997486299561528,0.014166388645900039,7
Model_random_forest,0.02552485765469285,0.004693989166650404,8
FS_Method_infgain,0.023602670521151836,0.004314539954518711,9
Model_XGBmodel,0.015757626041493635,0.005681784922821736,10
