Metric,Split_Ratio:0.2,FS_Method:infgain,Scaler:standard,FeatureNum:4.0,Model:random_forest,ImblName:noImbl,Norm_Order:last,Model:LogisticRegression,ImblName:TomekLinks,FeatureNum:6.0
Accuracy,0.6626831501831502,0.6531272546897547,0.6535388222888222,0.6533309283309283,0.627195720945721,0.6784916472416473,0.6391920579420579,0.6580461205461205,0.6727872821622821,0.6439123376623377
Macro_F1,0.6434019002181356,0.6325364317685884,0.6345316186035528,0.6353009554537882,0.6097266933884881,0.646512967745136,0.620271806672931,0.6421958322491778,0.6453505775384557,0.6220529764202143
Macro_Precision,0.6717137918126284,0.6634670528293317,0.6649769117831227,0.6628272575860199,0.6479018786784715,0.664404188430038,0.654039886117858,0.6940751227107084,0.6611096238921342,0.6539939914058632
Macro_Recall,0.6699705009496676,0.6592501607510288,0.6626736308958531,0.6615496827846364,0.6473071581196581,0.6557861467236468,0.6509804526748971,0.6831271367521368,0.6573970204178538,0.6493745713305898
Weighted_F1,0.6599913088405863,0.649773796835794,0.6504164682869232,0.6517712025027546,0.6210252222840584,0.6747056155099392,0.6354308569490482,0.6518020178874268,0.6711016972872494,0.6397063587878286
Weighted_Precision,0.712547018037443,0.704428237766732,0.7066008246892359,0.7041723015923697,0.6928541304816642,0.6955231661361926,0.697206907337123,0.740614551096954,0.6950547415909023,0.6953414632288519
