Metric,Split_Ratio:0.2,FS_Method:infgain,Scaler:standard,FeatureNum:4.0,Model:random_forest,ImblName:noImbl,Norm_Order:last,Random_State:23.0,Model:LogisticRegression,ImblName:TomekLinks
Accuracy,0.07950915685675791,0.0813872755671442,0.0818884268669021,0.0801781372085071,0.09319106548676333,0.06741146703547166,0.0839030573030094,0.08091043047741164,0.0786251305771313,0.06734357622195943
Macro_F1,0.0798325751299553,0.08067390497073298,0.08218084957509872,0.07850515324108612,0.09599611932848873,0.06785325943302362,0.08435736492896452,0.08103787605255858,0.07699292563247032,0.06764951268628198
Macro_Precision,0.05528688366258638,0.061737386454522196,0.05620960981569109,0.06013592354622993,0.059656107217001646,0.06464024202433023,0.06126770991070001,0.060317667886832085,0.03228248005363417,0.06350341967775479
Macro_Recall,0.06112782282804412,0.06378736435860494,0.06133535119508995,0.062346448339553294,0.06689262371963747,0.06231998141251406,0.06464574476624442,0.06344501592793168,0.04107895565153123,0.06319302909971453
Weighted_F1,0.09066877947070116,0.09116214472696856,0.09437991390322653,0.08821433745339541,0.1122459941849316,0.0679092324677431,0.09674697204548932,0.09205484252038242,0.0944612973711491,0.06802570934586173
Weighted_Precision,0.05311630974572096,0.05969911186155007,0.05397522486424851,0.05689454237274627,0.05898349800023369,0.057101523944987215,0.06036089381218773,0.05903725278137768,0.029283502292449897,0.05747758200405508
