Metric,AugName_gaussian_noise,AugName_mixup,AugName_noAug,FS_Method_biMaxInfgain,FS_Method_biMeanInfgain,FS_Method_infgain,FS_Method_noSelect,FeatureNum,ImblName_ADASYN,ImblName_RandomUnderSampler,ImblName_SMOTE,ImblName_TomekLinks,ImblName_noImbl,Model_DTmodel,Model_GradientBoosting,Model_LogisticRegression,Model_XGBmodel,Model_random_forest,Model_sklearn_SVM,Norm_Order_first,Norm_Order_last,Prob_Threshold,Random_State,Scaler_minmax,Scaler_standard,Split_Ratio
Accuracy,0.2873335610130024,0.0044461626804819885,0.004248413407534516,0.008224550010821919,0.008186031121822014,0.01618761188833326,0.0025457146376971773,0.044553491164948014,0.0186902347367126,0.009789135375251518,0.013217249522582651,0.06979902257390658,0.04995897712402768,0.084436754170907,0.006164856654933084,0.025670185087067483,0.005924074449768945,0.02293617395127615,0.035464753684836016,0.013484828099676655,0.010268934868441331,0.10794219067587175,0.08972199143997553,0.013868040899190423,0.011915418921636056,0.03502164183929728
Macro_F1,0.3405731624715198,0.004283649922670888,0.004397436621111624,0.008561278740464296,0.008676307770187044,0.016501784855967375,0.002672946730400573,0.046677548680682884,0.01474875330532912,0.009365993723669218,0.011484885791888276,0.06567419942160681,0.048587303082888854,0.0806388117116985,0.008217642663519051,0.022936083910189965,0.007346950420881115,0.026695358110525588,0.03132194704330435,0.01136070015719277,0.010959114338889839,0.06820632046404676,0.0876918640214952,0.015390662682177498,0.012290874865132867,0.03473841849255974
Macro_Precision,0.21509592021256954,0.006189579379936305,0.006157112554665489,0.01257004704811036,0.011935962966629734,0.020049608540265475,0.0039010416451570745,0.062438705248721235,0.012201330235845829,0.01128922766576977,0.01157713366222743,0.016700915958260912,0.01711648531855013,0.20371787076576267,0.03754147637448606,0.008461753687049373,0.02548538369443649,0.04491743238365469,0.006545884196995291,0.010387206415247952,0.010864588068503343,0.033092559799417026,0.1328368625722197,0.01326990729577976,0.014671937833758546,0.05098406647597979
Macro_Recall,0.3179350445126166,0.005985522763227768,0.006018901682020506,0.00949134208648584,0.009567270125238751,0.01642154860337666,0.003213012601354918,0.052865547587213096,0.018605326201014915,0.019037219661790034,0.013092197998223833,0.01727940529916788,0.01689876033590532,0.15870760118998778,0.02311712333384525,0.008693654807316124,0.015734577981721908,0.03195921468393901,0.009084370919629388,0.01095400828462314,0.011085411565970073,0.03409750095061526,0.1179334695008411,0.013619918319971829,0.012493481616464058,0.046108567387439126
Weighted_F1,0.309945198796988,0.003600663690702245,0.0034005335148975563,0.007818154497246049,0.007856225608336036,0.015619161284115562,0.0023383353641765196,0.042963850476938355,0.017865513683750098,0.007805057238255098,0.011186809648015123,0.08326126131960024,0.05811336395624294,0.06795902012280682,0.006468326994008475,0.021665700320676922,0.006038550988979805,0.027445244885932966,0.0290689208408617,0.011187284689846705,0.013163260155859417,0.10783456106000516,0.07848103406294595,0.011269495517123567,0.016587051243326104,0.031057420038362493
Weighted_Precision,0.19293390942323754,0.005778249526026859,0.005732515030005527,0.013553849029653484,0.01226921999266096,0.018922250485852107,0.003897093804484246,0.06328115802435368,0.0139908641783414,0.012441751480600234,0.012950862475109078,0.01586649124913473,0.017073791355349068,0.23385630589432027,0.008552078503353468,0.03426273847169744,0.006987481325969925,0.03282734730590946,0.03613509893262755,0.012180083502790371,0.011873826534223166,0.031140737744117568,0.12792612418289687,0.013363529172778417,0.011581748251617709,0.050620894122888734
