Metric,AugName,FS_Method,FeatureNum,ImblName,Model,Norm_Order,Prob_Threshold,Scaler,Split_Ratio
Accuracy,0.36005944781747784,0.025562143835832406,0.0,0.1844719496882815,0.2089609105839804,0.02255934576592598,0.0,0.021887085159885987,0.0
Macro_F1,0.43019914976477497,0.02603670723478416,0.0,0.16766762169120666,0.20589095783593486,0.020545507072584027,0.0,0.022176988248085713,0.0
Macro_Precision,0.32602304689213535,0.033935919852847496,0.0,0.052604471296368964,0.4573633410056262,0.021163614624847393,0.0,0.019288332981147384,0.0
Macro_Recall,0.4407578284077929,0.02843576064634899,0.0,0.08427104399939957,0.31836860081245044,0.020348601155465808,0.0,0.018445212328352393,0.0
Weighted_F1,0.37585416828934487,0.024245092903736956,0.0,0.20047438153305097,0.1793583282495333,0.023113239081979153,0.0,0.02536747520223906,0.0
Weighted_Precision,0.29523201775875363,0.03515323656859491,0.0,0.04915046205367773,0.49640954689896644,0.02083521758801992,0.0,0.017344482748578367,0.0
