,biMaxInfgain,infgain,noSelect
biMaxInfgain,0.0,0.02604202328210295,0.028298543963439934
infgain,0.02604202328210295,0.0,0.03424524159286083
noSelect,0.028298543963439934,0.03424524159286083,0.0
