,FeatureNum:4,FeatureNum:5,FeatureNum:6,FeatureNum:7,FeatureNum:8,FS_Method:biMaxInfgain,FS_Method:infgain,FS_Method:noSelect,Scaler:minmax,Scaler:standard,AugName:noAug,ImblName:noImbl,Model:DTmodel,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Split_Ratio:0.1,Split_Ratio:0.15,Split_Ratio:0.2,Split_Ratio:0.25,Split_Ratio:0.3
Model:LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08996168408744763,0.033752811563086196,0.0,0.031642497772559224,0.030894467850400696,0.026597491575120244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model:XGBmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238185592784568,0.024969066334925107,0.031642497772559224,0.0,0.024445794518259484,0.02876206832481374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model:random_forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06706655091789389,0.02400720086486298,0.030894467850400696,0.024445794518259484,0.0,0.028122670579290802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model:sklearn_SVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07719727464598,0.02880741860674753,0.026597491575120244,0.02876206832481374,0.028122670579290802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norm_Order:first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006073557489981555,0.0,0.0,0.0,0.0,0.0,0.0
Norm_Order:last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006073557489981555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob_Threshold:0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Split_Ratio:0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04004406022390177,0.04610498862085454,0.043382077038693394,0.05249121020723034
Split_Ratio:0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04004406022390177,0.0,0.02611999036769283,0.029917789974003794,0.039677461619068544
Split_Ratio:0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04610498862085454,0.02611999036769283,0.0,0.022288704296526563,0.02803326342368431
Split_Ratio:0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043382077038693394,0.029917789974003794,0.022288704296526563,0.0,0.021781147687720638
Split_Ratio:0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249121020723034,0.039677461619068544,0.02803326342368431,0.021781147687720638,0.0
