Part,MeanImportance,StdImportance,Rank
AugMethod,0.3571071097658838,0.06655574395462689,1
Model,0.2532956694586729,0.0789545946366708,2
ImblMethod,0.12123677410939955,0.045045237770966036,3
InfoGain,0.041362695190138334,0.010892439530110142,4
NormOrder,0.02255970426187946,0.007053960629802175,5
Scaler,0.021844752877259715,0.008383839432712958,6
FeatureNum,0.0,0.0,7
Prob_Threshold,0.0,0.0,7
Split_Ratio,0.0,0.0,7
