Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8088,log/pimaindians_diabetes_v5/5/infgain/minmax__noAug__noImbl/sklearn_SVM,0.2,0.5,126
1,M_R,0.7698,log/pimaindians_diabetes_v5/5/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,126
1,M_F1,0.7818,log/pimaindians_diabetes_v5/5/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,126
1,m_P,0.8117,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
1,m_R,0.8117,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
1,m_F1,0.8117,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
1,W_P,0.8096,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
1,W_R,0.8117,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
1,W_F1,0.8059,log/pimaindians_diabetes_v5/5/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,126
1,Acc,0.8117,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
2,M_P,0.8088,log/pimaindians_diabetes_v5/6/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
2,M_R,0.7698,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
2,M_F1,0.7818,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
2,m_P,0.8117,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
2,m_R,0.8117,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
2,m_F1,0.8117,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
2,W_P,0.8096,log/pimaindians_diabetes_v5/5/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,126
2,W_R,0.8117,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
2,W_F1,0.8059,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
2,Acc,0.8117,log/pimaindians_diabetes_v5/5/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,126
3,M_P,0.8088,log/pimaindians_diabetes_v5/6/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
3,M_R,0.7698,log/pimaindians_diabetes_v5/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
3,M_F1,0.7818,log/pimaindians_diabetes_v5/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
3,m_P,0.8117,log/pimaindians_diabetes_v5/5/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,126
