Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Split_Ratio:0.1,Model:random_forest,FeatureNum:5.0,Scaler:standard,Model:GradientBoosting,FS_Method:infgain,Split_Ratio:0.25
Model:LogisticRegression,,,,0.9723976717961029,,0.9689957914084428,0.9634808781960481,,0.9880730423836265,0.991146622630621
Model:sklearn_SVM,,,,0.9579144998805768,,0.9538917685745499,0.9472694117416202,,0.9780990849652079,0.9826419736220583
Model:XGBmodel,,,,0.9989252859310673,,0.9995835418834925,0.9993906033037155,,0.9950925223431616,0.9930263116386959
Split_Ratio:0.1,0.9723976717961029,0.9579144998805768,0.9989252859310673,,0.9949108900644258,0.9997072124997154,0.9990674645262682,0.9978663874622212,0.9966514960669293,
Model:random_forest,,,,0.9949108900644258,,0.9964042852391514,0.9979659402191116,,0.9838031481898268,0.9794378627044583
FeatureNum:5.0,0.9689957914084428,0.9538917685745499,0.9995835418834925,0.9997072124997154,0.9964042852391514,,0.9997610155051188,0.9989905122731119,0.9954338806381055,0.9929812375317029
Scaler:standard,0.9634808781960481,0.9472694117416202,0.9993906033037155,0.9990674645262682,0.9979659402191116,0.9997610155051188,,0.9996485059073762,0.9931322035202563,0.9902379002895402
Model:GradientBoosting,,,,0.9978663874622212,,0.9989905122731119,0.9996485059073762,,0.9906096108016204,0.9875144001128386
FS_Method:infgain,0.9880730423836265,0.9780990849652079,0.9950925223431616,0.9966514960669293,0.9838031481898268,0.9954338806381055,0.9931322035202563,0.9906096108016204,,0.9996665723081475
Split_Ratio:0.25,0.991146622630621,0.9826419736220583,0.9930263116386959,,0.9794378627044583,0.9929812375317029,0.9902379002895402,0.9875144001128386,0.9996665723081475,
