Part_Label,Scaler:minmax,Split_Ratio:0.15,Split_Ratio:0.2,FS_Method:infgain,Split_Ratio:0.25,Split_Ratio:0.3,AugName:noAug,FeatureNum:4.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FS_Method:noSelect,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,FeatureNum:5.0,Model:GradientBoosting,Model:random_forest,Scaler:standard,Split_Ratio:0.1,Model:XGBmodel,Model:sklearn_SVM,Model:LogisticRegression,Model:DTmodel
Scaler:minmax,,0.9871734185238281,0.9971214742178262,0.9999156744325318,0.9995008060699426,0.9997197398807767,0.9983901191028314,0.9999481529602857,0.9983901191028314,0.998401519749629,0.9983786646195413,0.9983901191028314,0.9936530111726953,0.9979307322478721,0.998772878518474,0.9971366412165917,0.9979307322478721,0.995182051471176,0.990206866228262,0.9835058835382152,,0.9966557612218268,0.9946479696661041,0.9780922562765942,0.9880627515274734,0.9279325593910315
Split_Ratio:0.15,0.9871734185238281,,,0.9872390430101682,,,0.9944349632985148,0.9877554203726098,0.9944349632985148,0.9944120160578378,0.9944578717818434,0.9944349632985148,0.9987103031917688,0.9953364204316093,0.993369985315682,0.9963285323647035,0.9953364204316093,0.9977303966960994,0.9988330079368691,0.9995476449716468,0.9987566233011698,,0.9966264049641933,0.9325240611142755,0.9513078888040846,0.9749053779455134
Split_Ratio:0.2,0.9971214742178262,,,0.9972718380620084,,,0.9998055845910018,0.9974697296401456,0.9998055845910018,0.9998012759049231,0.9998098461792643,0.9998055845910018,0.9992678567449942,0.9999203823055655,0.9995328186405912,0.99997547306123,0.9999203823055655,0.9997346807690721,0.9977231518131308,0.9943133624013539,0.9990013313075886,,0.9991471412544738,0.9600863445769404,0.9741515032955795,0.9521327474369267
FS_Method:infgain,0.9999156744325318,0.9872390430101682,0.9972718380620084,,0.9996665723081475,0.9998875366535381,0.9985020151008123,0.9999769062564126,0.9985020151008123,0.9985135089174368,0.9984904674018377,0.9985020151008123,,,0.9988903487910259,0.9972189294551331,0.9979935172506903,0.9954338806381048,0.9906096108016205,0.9838031481898252,0.9931322035202544,0.9966514960669273,0.9950925223431615,0.9780990849652078,0.9880730423836267,0.92750184322817
Split_Ratio:0.25,0.9995008060699426,,,0.9996665723081475,,,0.9969121845621217,0.9995062326698061,0.9969121845621217,0.9969292325144362,0.996895080398307,0.9969121845621217,0.9909463578659617,0.9961260488409108,0.9975788785390617,0.9951493232480999,0.9961260488409108,0.9929812375317018,0.9875144001128383,0.9794378627044562,0.9902379002895378,,0.9930263116386956,0.982641973622058,0.991146622630621,0.9180021778400548
Split_Ratio:0.3,0.9997197398807767,,,0.9998875366535381,,,0.9980363182294782,0.9997657194859046,0.9980363182294782,0.9980500505591379,0.9980225310701649,0.9980363182294782,0.993004172721169,0.9973702958971926,0.9985845209782046,0.9965996332670267,0.9973702958971926,0.9947642902686245,0.9899823347212692,0.9826079170610662,0.9923673921801869,,0.9948260928783696,0.9794421801485429,0.9887996710461575,0.9242201864279546
AugName:noAug,0.9983901191028314,0.9944349632985148,0.9998055845910018,0.9985020151008123,0.9969121845621217,0.9980363182294782,,0.9986343245841506,1.0,0.9999999755286078,0.9999999755073926,1.0,0.9983970700620701,0.999936662942654,0.9999277890728764,0.9997993859425254,0.999936662942654,0.9991409213476534,0.9964596614788361,0.9921232557238117,0.9979968498713103,0.999590906581314,0.9986833897019866,0.9652547205684529,0.9781987648266169,0.9462502052139191
FeatureNum:4.0,0.9999481529602857,0.9877554203726098,0.9974697296401456,0.9999769062564126,0.9995062326698061,0.9997657194859046,0.9986343245841506,,0.99863432458415,0.9986448665312003,0.9986237291607843,0.99863432458415,0.9940872836672694,0.9981955003117158,,,,,0.9908011270339716,0.984243973290686,0.9933753583784443,0.9969233289457915,0.9951226179902987,0.9774410715399638,0.9876702048883745,0.9289236998962176
ImblName:noImbl,0.9983901191028314,0.9944349632985148,0.9998055845910018,0.9985020151008123,0.9969121845621217,0.9980363182294782,1.0,0.99863432458415,,0.9999999755286078,0.9999999755073926,1.0,0.9983970700620701,0.999936662942654,0.9999277890728764,0.9997993859425254,0.999936662942654,0.9991409213476534,0.9964596614788361,0.9921232557238117,0.9979968498713103,0.999590906581314,0.9986833897019866,0.9652547205684529,0.9781987648266169,0.9462502052139191
Norm_Order:first,0.998401519749629,0.9944120160578378,0.9998012759049231,0.9985135089174368,0.9969292325144362,0.9980500505591379,0.9999999755286078,0.9986448665312003,0.9999999755286078,,,0.9999999755286073,0.9983852663786283,0.9999344252961992,0.999930113770402,0.9997951164255144,0.9999344252961992,0.9991325016660471,0.9964444092261948,0.9920971279421801,0.9979840823122151,0.9995848590523505,0.9986772725454243,0.9653102457302903,0.9782415000943518,0.946180193680831
Norm_Order:last,0.9983786646195413,0.9944578717818434,0.9998098461792643,0.9984904674018377,0.996895080398307,0.9980225310701649,0.9999999755073926,0.9986237291607843,0.9999999755073926,,,0.9999999755073924,0.9984088299648058,0.9999388525873406,0.9999254143968211,0.9998036083450489,0.9999388525873406,0.9991492957455888,0.9964748715401716,0.9921493462396703,0.9980095740870173,0.9995969077765423,0.9986894605994338,0.965199124070546,0.9781559631316766,0.9463202007458771
Prob_Threshold:0.5,0.9983901191028314,0.9944349632985148,0.9998055845910018,0.9985020151008123,0.9969121845621217,0.9980363182294782,1.0,0.99863432458415,1.0,0.9999999755286073,0.9999999755073924,,0.9983970700620701,0.999936662942654,0.9999277890728764,0.9997993859425254,0.999936662942654,0.9991409213476534,0.9964596614788361,0.9921232557238117,0.9979968498713103,0.999590906581314,0.9986833897019866,0.9652547205684529,0.9781987648266169,0.9462502052139191
FS_Method:biMaxInfgain,0.9936530111726953,0.9987103031917688,0.9992678567449942,,0.9909463578659617,0.993004172721169,0.9983970700620701,0.9940872836672694,0.9983970700620701,0.9983852663786283,0.9984088299648058,0.9983970700620701,,,0.9978642274813145,0.9993120719160697,0.9987786582020597,0.999833215184301,0.9994188965593684,0.9976087766201477,0.9998957625272584,0.9994606482192534,0.9993142760916849,0.948950576689663,0.9648862551575506,0.9625299294343305
FS_Method:noSelect,0.9979307322478721,0.9953364204316093,0.9999203823055655,,0.9961260488409108,0.9973702958971926,0.999936662942654,0.9981955003117158,0.999936662942654,0.9999344252961992,0.9999388525873406,0.999936662942654,,,0.9997364286795611,0.9999128988006548,1.0,0.9993717498260417,0.9968415043477877,0.9930333457548148,0.9983754936272039,0.9998152225704112,0.9986733548525715,0.9630057924245243,0.9765362067471101,0.9492354697530979
FeatureNum:6.0,0.998772878518474,0.993369985315682,0.9995328186405912,0.9988903487910259,0.9975788785390617,0.9985845209782046,0.9999277890728764,,0.9999277890728764,0.999930113770402,0.9999254143968211,0.9999277890728764,0.9978642274813145,0.9997364286795611,,,,,0.9958922184269914,0.991013441093426,0.9974174551115952,0.9992476906066462,0.9985134025047349,0.9674532425751277,0.9797594398512436,0.9431550170284484
FeatureNum:7.0,0.9971366412165917,0.9963285323647035,0.99997547306123,0.9972189294551331,0.9951493232480999,0.9965996332670267,0.9997993859425254,,0.9997993859425254,0.9997951164255144,0.9998036083450489,0.9997993859425254,0.9993120719160697,0.9999128988006548,,,,,0.9977674143392475,0.9943665438659846,0.9989713257041792,0.9999448212578012,0.9991551045581196,0.9598816358966701,0.9739068232832673,0.9525103208745973
FeatureNum:8.0,0.9979307322478721,0.9953364204316093,0.9999203823055655,0.9979935172506903,0.9961260488409108,0.9973702958971926,0.999936662942654,,0.999936662942654,0.9999344252961992,0.9999388525873406,0.999936662942654,0.9987786582020597,1.0,,,,,0.9968415043477877,0.9930333457548148,0.9983754936272039,0.9998152225704112,0.9986733548525715,0.9630057924245243,0.9765362067471101,0.9492354697530979
FeatureNum:5.0,0.995182051471176,0.9977303966960994,0.9997346807690721,0.9954338806381048,0.9929812375317018,0.9947642902686245,0.9991409213476534,,0.9991409213476534,0.9991325016660471,0.9991492957455888,0.9991409213476534,0.999833215184301,0.9993717498260417,,,,,0.9989905122731119,0.9964042852391503,0.9997610155051188,0.9997072124997141,0.9995835418834932,0.953891768574551,0.9689957914084443,0.9577567877360488
Model:GradientBoosting,0.990206866228262,0.9988330079368691,0.9977231518131308,0.9906096108016205,0.9875144001128383,0.9899823347212692,0.9964596614788361,0.9908011270339716,0.9964596614788361,0.9964444092261948,0.9964748715401716,0.9964596614788361,0.9994188965593684,0.9968415043477877,0.9958922184269914,0.9977674143392475,0.9968415043477877,0.9989905122731119,,,0.999648505907374,0.9978663874622191,,,,
Model:random_forest,0.9835058835382152,0.9995476449716468,0.9943133624013539,0.9838031481898252,0.9794378627044562,0.9826079170610662,0.9921232557238117,0.984243973290686,0.9921232557238117,0.9920971279421801,0.9921493462396703,0.9921232557238117,0.9976087766201477,0.9930333457548148,0.991013441093426,0.9943665438659846,0.9930333457548148,0.9964042852391503,,,0.9979659402191116,0.9949108900644258,,,,
Scaler:standard,,0.9987566233011698,0.9990013313075886,0.9931322035202544,0.9902379002895378,0.9923673921801869,0.9979968498713103,0.9933753583784443,0.9979968498713103,0.9979840823122151,0.9980095740870173,0.9979968498713103,0.9998957625272584,0.9983754936272039,0.9974174551115952,0.9989713257041792,0.9983754936272039,0.9997610155051188,0.999648505907374,0.9979659402191116,,0.9990674645262683,0.9993906033037171,0.9472694117416219,0.9634808781960504,0.9630864990687464
Split_Ratio:0.1,0.9966557612218268,,,0.9966514960669273,,,0.999590906581314,0.9969233289457915,0.999590906581314,0.9995848590523505,0.9995969077765423,0.999590906581314,0.9994606482192534,0.9998152225704112,0.9992476906066462,0.9999448212578012,0.9998152225704112,0.9997072124997141,0.9978663874622191,0.9949108900644258,0.9990674645262683,,0.9989252859310689,0.9579144998805789,0.9723976717961054,0.9549282049891313
Model:XGBmodel,0.9946479696661041,0.9966264049641933,0.9991471412544738,0.9950925223431615,0.9930263116386956,0.9948260928783696,0.9986833897019866,0.9951226179902987,0.9986833897019866,0.9986772725454243,0.9986894605994338,0.9986833897019866,0.9993142760916849,0.9986733548525715,0.9985134025047349,0.9991551045581196,0.9986733548525715,0.9995835418834932,,,0.9993906033037171,0.9989252859310689,,,,
Model:sklearn_SVM,0.9780922562765942,0.9325240611142755,0.9600863445769404,0.9780990849652078,0.982641973622058,0.9794421801485429,0.9652547205684529,0.9774410715399638,0.9652547205684529,0.9653102457302903,0.965199124070546,0.9652547205684529,0.948950576689663,0.9630057924245243,0.9674532425751277,0.9598816358966701,0.9630057924245243,0.953891768574551,,,0.9472694117416219,0.9579144998805789,,,,
Model:LogisticRegression,0.9880627515274734,0.9513078888040846,0.9741515032955795,0.9880730423836267,0.991146622630621,0.9887996710461575,0.9781987648266169,0.9876702048883745,0.9781987648266169,0.9782415000943518,0.9781559631316766,0.9781987648266169,0.9648862551575506,0.9765362067471101,0.9797594398512436,0.9739068232832673,0.9765362067471101,0.9689957914084443,,,0.9634808781960504,0.9723976717961054,,,,
Model:DTmodel,0.9279325593910315,0.9749053779455134,0.9521327474369267,0.92750184322817,0.9180021778400548,0.9242201864279546,0.9462502052139191,0.9289236998962176,0.9462502052139191,0.946180193680831,0.9463202007458771,0.9462502052139191,0.9625299294343305,0.9492354697530979,0.9431550170284484,0.9525103208745973,0.9492354697530979,0.9577567877360488,,,0.9630864990687464,0.9549282049891313,,,,
