Part_Label,Split_Ratio:0.1,Split_Ratio:0.15,FS_Method:noSelect,FeatureNum:8.0,Scaler:standard,FeatureNum:5.0,FeatureNum:7.0,FS_Method:infgain,Norm_Order:last,AugName:noAug
Split_Ratio:0.1,,,0.9998152225704142,0.9998152225704142,0.9990674645262682,0.9997072124997154,0.9999448212578042,0.9966514960669293,0.9995969077765434,0.999590906581315
Split_Ratio:0.15,,,0.9953364204316093,0.9953364204316093,0.9987566233011698,0.9977303966960994,0.9963285323647035,0.9872390430101682,0.9944578717818434,0.9944349632985148
FS_Method:noSelect,0.9998152225704142,0.9953364204316093,,1.0,0.9983754936272039,0.9993717498260417,0.9999128988006548,,0.9999388525873386,0.9999366629426522
FeatureNum:8.0,0.9998152225704142,0.9953364204316093,1.0,,0.9983754936272039,,,0.9979935172506891,0.9999388525873386,0.9999366629426522
Scaler:standard,0.9990674645262682,0.9987566233011698,0.9983754936272039,0.9983754936272039,,0.99976101550512,0.998971325704182,0.9931322035202563,0.9980095740870184,0.9979968498713113
FeatureNum:5.0,0.9997072124997154,0.9977303966960994,0.9993717498260417,,0.99976101550512,,,0.9954338806381055,0.9991492957455885,0.9991409213476532
FeatureNum:7.0,0.9999448212578042,0.9963285323647035,0.9999128988006548,,0.998971325704182,,,0.9972189294551321,0.9998036083450469,0.9997993859425235
FS_Method:infgain,0.9966514960669293,0.9872390430101682,,0.9979935172506891,0.9931322035202563,0.9954338806381055,0.9972189294551321,,0.9984904674018377,0.9985020151008123
Norm_Order:last,0.9995969077765434,0.9944578717818434,0.9999388525873386,0.9999388525873386,0.9980095740870184,0.9991492957455885,0.9998036083450469,0.9984904674018377,,0.9999999755073924
AugName:noAug,0.999590906581315,0.9944349632985148,0.9999366629426522,0.9999366629426522,0.9979968498713113,0.9991409213476532,0.9997993859425235,0.9985020151008123,0.9999999755073924,
