,biMaxInfgain,infgain,noSelect
biMaxInfgain,0.0,0.023434992738330433,0.026108159388585288
infgain,0.023434992738330433,0.0,0.026269060392901524
noSelect,0.026108159388585288,0.026269060392901524,0.0
