,DTmodel,GradientBoosting,LogisticRegression,XGBmodel,random_forest,sklearn_SVM
DTmodel,0.0,0.06902889485299378,0.09078319124431908,0.07850766553830102,0.07266859756550703,0.07989790754213938
GradientBoosting,0.06902889485299378,0.0,0.028175588155342282,0.023226460747200275,0.020192912951152872,0.0283387234938619
LogisticRegression,0.09078319124431908,0.028175588155342282,0.0,0.023698583432602664,0.02417476267486916,0.02209110298886671
XGBmodel,0.07850766553830102,0.023226460747200275,0.023698583432602664,0.0,0.022426381671090474,0.027948086766575626
random_forest,0.07266859756550703,0.020192912951152872,0.02417476267486916,0.022426381671090474,0.0,0.028409007429510826
sklearn_SVM,0.07989790754213938,0.0283387234938619,0.02209110298886671,0.027948086766575626,0.028409007429510826,0.0
