Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:GradientBoosting,FeatureNum:6.0,Model:random_forest,FS_Method:biMaxInfgain,Scaler:minmax,Norm_Order:first,FS_Method:infgain
Model:LogisticRegression,,,,,0.9701714238740483,,0.950079872626027,0.9741712452066549,0.9690876663574423,0.9830858571386206
Model:sklearn_SVM,,,,,0.9600006288247928,,0.937438988587225,0.9650695642240362,0.9589158011096077,0.9751391931077324
Model:XGBmodel,,,,,0.9940493980692784,,0.9981657098797408,0.9907248987391443,0.9939805020495185,0.986200727900399
Model:GradientBoosting,,,,,0.9973822180578659,,0.9983172878415808,0.9947837833666298,0.9970967695268482,0.9921654369939854
FeatureNum:6.0,0.9701714238740483,0.9600006288247928,0.9940493980692784,0.9973822180578659,,0.9815868540613262,0.9973196050942437,0.9995300482033955,0.9999337424373979,0.998156813056518
Model:random_forest,,,,,0.9815868540613262,,0.992341083993108,0.9770520617222841,0.9820649791295917,0.9683341881159782
FS_Method:biMaxInfgain,0.950079872626027,0.937438988587225,0.9981657098797408,0.9983172878415808,0.9973196050942437,0.992341083993108,,0.9958195090717499,0.9976871486659344,
Scaler:minmax,0.9741712452066549,0.9650695642240362,0.9907248987391443,0.9947837833666298,0.9995300482033955,0.9770520617222841,0.9958195090717499,,0.9996471312690021,0.9987538883585563
Norm_Order:first,0.9690876663574423,0.9589158011096077,0.9939805020495185,0.9970967695268482,0.9999337424373979,0.9820649791295917,0.9976871486659344,0.9996471312690021,,0.9978157429691112
FS_Method:infgain,0.9830858571386206,0.9751391931077324,0.986200727900399,0.9921654369939854,0.998156813056518,0.9683341881159782,,0.9987538883585563,0.9978157429691112,
