Part_Label,FeatureNum:5.0,FS_Method:infgain,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:4.0,Scaler:standard,Norm_Order:first,AugName:noAug,Prob_Threshold:0.5,Split_Ratio:0.2
FeatureNum:5.0,,0.9969446949040693,0.9989320181853697,,,0.9997464411550238,0.9999150110782471,0.9999457762649441,0.9999457762649441,0.9999457762649441
FS_Method:infgain,0.9969446949040693,,,0.9933782091981681,0.9999314487864438,0.995643704714805,0.9978157429691099,0.9976532617697909,0.9976532617697909,0.9976532617697909
FS_Method:noSelect,0.9989320181853697,,,1.0,0.9944928669667409,0.9985402793080548,0.9985754397218153,0.9986257640695179,0.9986257640695179,0.9986257640695179
FeatureNum:8.0,,0.9933782091981681,1.0,,,0.9985402793080548,0.9985754397218153,0.9986257640695179,0.9986257640695179,0.9986257640695179
FeatureNum:4.0,,0.9999314487864438,0.9944928669667409,,,0.9966254212329305,0.9984822728147705,0.9983504917425206,0.9983504917425206,0.9983504917425206
Scaler:standard,0.9997464411550238,0.995643704714805,0.9985402793080548,0.9985402793080548,0.9966254212329305,,0.9994517028017169,0.9995488667628558,0.9995488667628558,0.9995488667628558
Norm_Order:first,0.9999150110782471,0.9978157429691099,0.9985754397218153,0.9985754397218153,0.9984822728147705,0.9994517028017169,,0.9999952396796821,0.9999952396796821,0.9999952396796821
AugName:noAug,0.9999457762649441,0.9976532617697909,0.9986257640695179,0.9986257640695179,0.9983504917425206,0.9995488667628558,0.9999952396796821,,1.0,1.0
Prob_Threshold:0.5,0.9999457762649441,0.9976532617697909,0.9986257640695179,0.9986257640695179,0.9983504917425206,0.9995488667628558,0.9999952396796821,1.0,,1.0
Split_Ratio:0.2,0.9999457762649441,0.9976532617697909,0.9986257640695179,0.9986257640695179,0.9983504917425206,0.9995488667628558,0.9999952396796821,1.0,1.0,
