Part_Label,Split_Ratio:0.1,Split_Ratio:0.15,FeatureNum:6.0,FS_Method:noSelect,FeatureNum:8.0,FS_Method:biMaxInfgain,Scaler:standard,Norm_Order:last,Prob_Threshold:0.5,AugName:noAug
Split_Ratio:0.1,,,0.9860308350490087,0.9828941458620629,0.9828941458620629,0.9936362725784647,0.994362882599121,0.9855402930811354,0.9856136265621303,0.9856136265621303
Split_Ratio:0.15,,,0.9988111039685178,0.9986807573832523,0.9986807573832523,0.9973280196359319,0.9987209874769528,0.9989750536412758,0.9989778622570836,0.9989778622570836
FeatureNum:6.0,0.9860308350490087,0.9988111039685178,,0.9996243152346403,,0.9977121321952063,0.9980815432470158,0.9999635906416267,0.999967430652361,0.999967430652361
FS_Method:noSelect,0.9828941458620629,0.9986807573832523,0.9996243152346403,,1.0,,0.9966065551513564,0.9998093731959936,0.9997982316035172,0.9997982316035172
FeatureNum:8.0,0.9828941458620629,0.9986807573832523,,1.0,,0.9957183942913109,0.9966065551513564,0.9998093731959936,0.9997982316035172,0.9997982316035172
FS_Method:biMaxInfgain,0.9936362725784647,0.9973280196359319,0.9977121321952063,,0.9957183942913109,,0.9996456759309821,0.997283729364704,0.9973269230549925,0.9973269230549925
Scaler:standard,0.994362882599121,0.9987209874769528,0.9980815432470158,0.9966065551513564,0.9966065551513564,0.9996456759309821,,0.9978502669684874,0.9978830002048164,0.9978830002048164
Norm_Order:last,0.9855402930811354,0.9989750536412758,0.9999635906416267,0.9998093731959936,0.9998093731959936,0.997283729364704,0.9978502669684874,,0.9999998097090255,0.9999998097090255
Prob_Threshold:0.5,0.9856136265621303,0.9989778622570836,0.999967430652361,0.9997982316035172,0.9997982316035172,0.9973269230549925,0.9978830002048164,0.9999998097090255,,1.0
AugName:noAug,0.9856136265621303,0.9989778622570836,0.999967430652361,0.9997982316035172,0.9997982316035172,0.9973269230549925,0.9978830002048164,0.9999998097090255,1.0,
