Part_Label,Model:LogisticRegression,Split_Ratio:0.1,Model:sklearn_SVM,Model:XGBmodel,Split_Ratio:0.15,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Scaler:standard
Model:LogisticRegression,,0.935351863956741,,,0.9754425653794304,,0.9840248122415717,0.9840248122415717,0.9744530031282707,0.9660741191865201
Split_Ratio:0.1,0.935351863956741,,0.8883226982780131,0.9954332970144685,,0.9908272654058062,0.9828941458620629,0.9828941458620629,0.9891186219018786,0.994362882599121
Model:sklearn_SVM,,0.8883226982780131,,,0.943562787777516,,0.956543212635801,0.956543212635801,0.9415190676105146,0.929326323484742
Model:XGBmodel,,0.9954332970144685,,,0.9974230800935873,,0.9949033632470892,0.9949033632470892,0.9984941418371791,0.9997697899187858
Split_Ratio:0.15,0.9754425653794304,,0.943562787777516,0.9974230800935873,,0.9974236213634161,0.9986807573832523,0.9986807573832523,0.9986814962775836,0.9987209874769528
Model:random_forest,,0.9908272654058062,,,0.9974236213634161,,0.9969660086422203,0.9969660086422203,0.9996276401839781,0.9992409360741501
FS_Method:noSelect,0.9840248122415717,0.9828941458620629,0.956543212635801,0.9949033632470892,0.9986807573832523,0.9969660086422203,,1.0,0.9987021921783438,0.9966065551513564
FeatureNum:8.0,0.9840248122415717,0.9828941458620629,0.956543212635801,0.9949033632470892,0.9986807573832523,0.9969660086422203,1.0,,,0.9966065551513564
FeatureNum:5.0,0.9744530031282707,0.9891186219018786,0.9415190676105146,0.9984941418371791,0.9986814962775836,0.9996276401839781,0.9987021921783438,,,0.999127678792714
Scaler:standard,0.9660741191865201,0.994362882599121,0.929326323484742,0.9997697899187858,0.9987209874769528,0.9992409360741501,0.9966065551513564,0.9966065551513564,0.999127678792714,
