Part_Label,FS_Method:infgain,Prob_Threshold:0.35,FeatureNum:7.0,Scaler:minmax,Norm_Order:first,Norm_Order:last,AugName:noAug,ImblName:noImbl,Split_Ratio:0.2,FeatureNum:5.0
FS_Method:infgain,,0.8232699857707519,0.9935024351587921,0.9985389882810913,0.9963314552811673,0.9964227571708667,0.9963773619993997,0.9963773619993997,0.9963773619993997,0.9948180772437895
Prob_Threshold:0.35,0.8232699857707519,,0.8822449936120463,0.7973935453130789,0.8659964617472542,0.8653402437423893,0.8656683963538582,0.8656683963538582,0.8656683963538582,0.8693078594484375
FeatureNum:7.0,0.9935024351587921,0.8822449936120463,,0.9874465077054437,0.9992904420211682,0.9992391461061185,0.9992650158871864,0.9992650158871864,0.9992650158871864,
Scaler:minmax,0.9985389882810913,0.7973935453130789,0.9874465077054437,,0.9922835316229719,0.9924448352495655,0.9923644552672561,0.9923644552672561,0.9923644552672561,0.9910852096123236
Norm_Order:first,0.9963314552811673,0.8659964617472542,0.9992904420211682,0.9922835316229719,,,0.9999997653201761,0.9999997653201761,0.9999997653201761,0.9997449271265091
Norm_Order:last,0.9964227571708667,0.8653402437423893,0.9992391461061185,0.9924448352495655,,,0.9999997657756299,0.9999997657756299,0.9999997657756299,0.9997421151758384
AugName:noAug,0.9963773619993997,0.8656683963538582,0.9992650158871864,0.9923644552672561,0.9999997653201761,0.9999997657756299,,1.0,1.0,0.9997437548602606
ImblName:noImbl,0.9963773619993997,0.8656683963538582,0.9992650158871864,0.9923644552672561,0.9999997653201761,0.9999997657756299,1.0,,1.0,0.9997437548602606
Split_Ratio:0.2,0.9963773619993997,0.8656683963538582,0.9992650158871864,0.9923644552672561,0.9999997653201761,0.9999997657756299,1.0,1.0,,0.9997437548602606
FeatureNum:5.0,0.9948180772437895,0.8693078594484375,,0.9910852096123236,0.9997449271265091,0.9997421151758384,0.9997437548602606,0.9997437548602606,0.9997437548602606,
