Part_Label,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Prob_Threshold:0.35,Model:GradientBoosting,FS_Method:infgain,Scaler:minmax
Model:sklearn_SVM,,,,0.8975336298131311,0.8975336298131311,0.9088855200928756,0.5956323460668083,,0.9451508013996819,0.9559022756365056
Model:LogisticRegression,,,,0.9881753060987725,0.9881753060987725,0.98595864755051,0.8077049739153183,,0.9968816969213087,0.9939992690570986
Model:XGBmodel,,,,0.9910454119074074,0.9910454119074074,0.9953044726928136,0.9110092000725094,,0.9807693401087502,0.9735710716778462
FS_Method:noSelect,0.8975336298131311,0.9881753060987725,0.9910454119074074,,1.0,0.9938828016524636,0.8884202237588431,0.9777513690567365,,0.9814954589720083
FeatureNum:8.0,0.8975336298131311,0.9881753060987725,0.9910454119074074,1.0,,,0.8884202237588431,0.9777513690567365,0.9902299258089574,0.9814954589720083
FeatureNum:5.0,0.9088855200928756,0.98595864755051,0.9953044726928136,0.9938828016524636,,,0.8693078594484341,0.9719055799091517,0.9948180772437907,0.9910852096123242
Prob_Threshold:0.35,0.5956323460668083,0.8077049739153183,0.9110092000725094,0.8884202237588431,0.8884202237588431,0.8693078594484341,,0.961109035569895,0.8232699857707562,0.7973935453130789
Model:GradientBoosting,,,,0.9777513690567365,0.9777513690567365,0.9719055799091517,0.961109035569895,,0.9472174317664855,0.9328310204593475
FS_Method:infgain,0.9451508013996819,0.9968816969213087,0.9807693401087502,,0.9902299258089574,0.9948180772437907,0.8232699857707562,0.9472174317664855,,0.9985389882810913
Scaler:minmax,0.9559022756365056,0.9939992690570986,0.9735710716778462,0.9814954589720083,0.9814954589720083,0.9910852096123242,0.7973935453130789,0.9328310204593475,0.9985389882810913,
