Part_Label,FS_Method:noSelect,FeatureNum:8.0,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,FS_Method:biMaxInfgain,FeatureNum:6.0,FeatureNum:4.0,Prob_Threshold:0.5,AugName:noAug,FS_Method:infgain,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Scaler:minmax,Scaler:standard,Split_Ratio:0.2,Model:GradientBoosting,Model:random_forest,Prob_Threshold:0.35,FeatureNum:5.0,Model:DTmodel
FS_Method:noSelect,,1.0,0.9881753060987725,0.9910454119074075,0.8975336298131326,,0.9931336115547212,0.9898943701200691,0.9113257976160087,0.9954122443168645,,0.9978535241506512,0.9954122443168645,0.995460951830907,0.9953631175640212,0.9814954589720083,0.9929040674138961,0.9954122443168645,0.9777513690567365,0.9832351553422289,0.8884202237588431,0.9938828016524636,0.9374370387285835
FeatureNum:8.0,1.0,,0.9881753060987725,0.9910454119074075,0.8975336298131326,0.9909456006279301,,,0.9113257976160087,0.9954122443168645,0.9902299258089574,,0.9954122443168645,0.995460951830907,0.9953631175640212,0.9814954589720083,0.9929040674138961,0.9954122443168645,0.9777513690567365,0.9832351553422289,0.8884202237588431,,0.9374370387285835
Model:LogisticRegression,0.9881753060987725,0.9881753060987725,,,,0.9726032640925716,0.9878738513372404,0.9915406266895906,0.9591501871342903,0.9892656192076504,0.9968816969213087,0.9870423507145557,0.9892656192076504,0.9892214898584806,0.9893092420687087,0.9939992690570986,0.9659139355534244,0.9892656192076504,,,0.8077049739153183,0.98595864755051,
Model:XGBmodel,0.9910454119074075,0.9910454119074075,,,,0.9994801582624647,0.9933738787428696,0.9874123821148236,0.892790009849707,0.9938080949525991,0.9807693401087502,0.9958016098321124,0.9938080949525991,0.993866722691889,0.9937490583573239,0.9735710716778462,0.9984305525743443,0.9938080949525991,,,0.9110092000725094,0.9953044726928136,
Model:sklearn_SVM,0.8975336298131326,0.8975336298131326,,,,0.8774718494316668,0.9160372945694922,0.9326777281571835,0.9937374712549322,0.9143503951284638,0.9451508013996819,0.901982620247521,0.9143503951284638,0.9141120175149615,0.9145881127801343,0.9559022756365056,0.8509955038595334,0.9143503951284638,,,0.5956323460668083,0.9088855200928756,
FS_Method:biMaxInfgain,,0.9909456006279301,0.9726032640925716,0.9994801582624647,0.8774718494316668,,0.9961022624229741,0.9913938961622133,0.9057848046592172,0.9960384340055116,,0.9968231439899555,0.9960384340055116,0.9960750256003403,0.9960014111157373,0.9795581796049242,0.9963991456805418,0.9960384340055116,0.9838979224813807,0.967822725099979,0.89758449676724,0.9974766675627389,0.9752028164500526
FeatureNum:6.0,0.9931336115547212,,0.9878738513372404,0.9933738787428696,0.9160372945694922,0.9961022624229741,,,0.9379009608218859,0.999747547964207,0.9962874712369405,,0.999747547964207,0.9997368285963141,0.9997577883672273,0.9933152820078858,0.9887507694830078,0.999747547964207,0.967683917906516,0.9588939690829652,0.860473219479085,,0.9655048712998578
FeatureNum:4.0,0.9898943701200691,,0.9915406266895906,0.9874123821148236,0.9326777281571835,0.9913938961622133,,,0.9523722213452993,0.9984351539114328,0.998613636609267,,0.9984351539114328,0.9983975069686928,0.9984722963619207,0.9974038856731665,0.9813937600264968,0.9984351539114328,0.9555458982565371,0.9487117549471688,0.8372436340065995,,0.9607160513792277
Prob_Threshold:0.5,0.9113257976160087,0.9113257976160087,0.9591501871342903,0.892790009849707,0.9937374712549322,0.9057848046592172,0.9379009608218859,0.9523722213452993,,0.9346009114067028,0.9591118461456958,0.9216839513192426,0.9346009114067028,0.9343674512923622,0.9348337068423959,0.9712788308590905,0.8763532429830992,0.9346009114067028,0.8204163938776811,0.8227931371714223,,0.9316179101425307,0.8818588164665223
AugName:noAug,0.9954122443168645,0.9954122443168645,0.9892656192076504,0.9938080949525991,0.9143503951284638,0.9960384340055116,0.999747547964207,0.9984351539114328,0.9346009114067028,,0.9963773619993989,0.9992650158871855,1.0,0.999999765320175,0.9999997657756285,0.9923644552672545,0.9903506186881762,1.0,0.9700761560853659,0.9641257652641816,0.8656683963538542,0.9997437548602606,0.961036334111418
FS_Method:infgain,,0.9902299258089574,0.9968816969213087,0.9807693401087502,0.9451508013996819,,0.9962874712369405,0.998613636609267,0.9591118461456958,0.9963773619993989,,0.9935024351587921,0.9963773619993997,0.9963314552811673,0.9964227571708667,0.9985389882810913,0.9757859558751908,0.9963773619993997,0.9472174317664868,0.9482511484892225,0.8232699857707519,0.9948180772437895,0.9449948440592404
FeatureNum:7.0,0.9978535241506512,,0.9870423507145557,0.9958016098321124,0.901982620247521,0.9968231439899555,,,0.9216839513192426,0.9992650158871855,0.9935024351587921,,0.9992650158871864,0.9992904420211682,0.9992391461061185,0.9874465077054437,0.9943289926754881,0.9992650158871864,0.9775089731683024,0.9734836477591937,0.8822449936120429,,0.9573080225693683
ImblName:noImbl,0.9954122443168645,0.9954122443168645,0.9892656192076504,0.9938080949525991,0.9143503951284638,0.9960384340055116,0.999747547964207,0.9984351539114328,0.9346009114067028,1.0,0.9963773619993997,0.9992650158871864,,0.999999765320175,0.9999997657756285,0.9923644552672545,0.9903506186881762,1.0,0.9700761560853659,0.9641257652641816,0.8656683963538542,0.9997437548602606,0.961036334111418
Norm_Order:first,0.995460951830907,0.995460951830907,0.9892214898584806,0.993866722691889,0.9141120175149615,0.9960750256003403,0.9997368285963141,0.9983975069686928,0.9343674512923622,0.999999765320175,0.9963314552811673,0.9992904420211682,0.999999765320175,,,0.9922835316229711,0.9904410500711172,0.9999997653201761,0.9702321764680671,0.9642959318841633,0.8659964617472519,0.9997449271265091,0.9610179541382935
Norm_Order:last,0.9953631175640212,0.9953631175640212,0.9893092420687087,0.9937490583573239,0.9145881127801343,0.9960014111157373,0.9997577883672273,0.9984722963619207,0.9348337068423959,0.9999997657756285,0.9964227571708667,0.9992391461061185,0.9999997657756285,,,0.9924448352495652,0.9902598109460594,0.9999997657756299,0.9699198325223212,0.9639553119864512,0.8653402437423866,0.9997421151758384,0.9610542458254507
Scaler:minmax,0.9814954589720083,0.9814954589720083,0.9939992690570986,0.9735710716778462,0.9559022756365056,0.9795581796049242,0.9933152820078858,0.9974038856731665,0.9712788308590905,0.9923644552672545,0.9985389882810913,0.9874465077054437,0.9923644552672545,0.9922835316229711,0.9924448352495652,,,0.9923644552672561,0.9328310204593501,0.9301370589178722,0.7973935453130763,0.9910852096123236,0.9471764957725406
Scaler:standard,0.9929040674138961,0.9929040674138961,0.9659139355534244,0.9984305525743443,0.8509955038595334,0.9963991456805418,0.9887507694830078,0.9813937600264968,0.8763532429830992,0.9903506186881762,0.9757859558751908,0.9943289926754881,0.9903506186881762,0.9904410500711172,0.9902598109460594,,,0.9903506186881772,0.994241459156598,0.9847406255181642,0.9266017708684776,0.9912484836748541,0.9590907981430066
Split_Ratio:0.2,0.9954122443168645,0.9954122443168645,0.9892656192076504,0.9938080949525991,0.9143503951284638,0.9960384340055116,0.999747547964207,0.9984351539114328,0.9346009114067028,1.0,0.9963773619993997,0.9992650158871864,1.0,0.9999997653201761,0.9999997657756299,0.9923644552672561,0.9903506186881772,,0.9700761560853659,0.9641257652641816,0.8656683963538542,0.9997437548602606,0.961036334111418
Model:GradientBoosting,0.9777513690567365,0.9777513690567365,,,,0.9838979224813807,0.967683917906516,0.9555458982565371,0.8204163938776811,0.9700761560853659,0.9472174317664868,0.9775089731683024,0.9700761560853659,0.9702321764680671,0.9699198325223212,0.9328310204593501,0.994241459156598,0.9700761560853659,,,0.9611090355698907,0.9719055799091495,
