Metric,Mean,Std
Accuracy,0.6888986013986013,0.09026461049445085
Macro_Precision,0.6967830536073132,0.0687622520747817
Macro_Recall,0.6957912709718266,0.0808701268651984
Macro_F1,0.6677615534683655,0.09720054631055744
Weighted_Precision,0.7367472209849464,0.0701005955483217
Weighted_Recall,0.6888986013986013,0.09026461049445085
Weighted_F1,0.6842316050590541,0.10542621501190338
Micro_Precision,0.6888986013986013,0.09026461049445085
Micro_Recall,0.6888986013986013,0.09026461049445085
Micro_F1,0.6888986013986013,0.09026461049445084
Integrated_Score,0.6912905688949619,0.08386559350093224
