Model_A,Model_B,Cliffs_Delta
DTmodel,GradientBoosting,-0.8333333333333334
DTmodel,LogisticRegression,-1.0
DTmodel,XGBmodel,-0.9444444444444444
DTmodel,random_forest,-0.5
DTmodel,sklearn_SVM,-1.0
GradientBoosting,LogisticRegression,-0.3333333333333333
GradientBoosting,XGBmodel,-0.05555555555555555
GradientBoosting,random_forest,0.2777777777777778
GradientBoosting,sklearn_SVM,-0.6666666666666666
LogisticRegression,XGBmodel,0.3333333333333333
LogisticRegression,random_forest,0.5
LogisticRegression,sklearn_SVM,-0.5555555555555556
XGBmodel,random_forest,0.3333333333333333
XGBmodel,sklearn_SVM,-0.6666666666666666
random_forest,sklearn_SVM,-0.8333333333333334
