Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.2861744859804222,0.05268195766648328,1
Model_DTmodel,0.19921430054560973,0.10648546696833842,2
Prob_Threshold,0.06304639291922974,0.033730522024762365,3
ImblName_TomekLinks,0.0550124029201283,0.036637641297568115,4
FeatureNum,0.0511040064758829,0.007497507783689039,5
ImblName_noImbl,0.05001705483669216,0.0310467963475694,6
Model_random_forest,0.03799934161050881,0.01589340331617382,7
Split_Ratio,0.03475057090274448,0.008466053374257607,8
Model_sklearn_SVM,0.02273727139723711,0.015573798291691131,9
Model_LogisticRegression,0.02144208076371534,0.013773839166968841,10
