Metric,FeatureNum:5.0,Scaler:standard,FS_Method:infgain,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0,Norm_Order:first,FeatureNum:4.0,AugName:noAug,Prob_Threshold:0.5
Accuracy,0.042730903578636945,0.042198207002501834,0.04123672569782763,0.04239196715048636,0.04239196715048636,0.042743169370491135,0.04048867464684066,0.0394978099614092,0.040377766144307964,0.040377766144307964
Macro_F1,0.04278242142050273,0.041482437111100987,0.03986718602882507,0.03855880382198612,0.03855880382198612,0.03998158386725895,0.03927319634608238,0.03903782060559529,0.03916698600129851,0.03916698600129851
Macro_Precision,0.04907649459184472,0.04788845930555331,0.04873215155700489,0.04736659185503405,0.04736659185503405,0.04775592625056032,0.04674375532399559,0.047599469857277074,0.04658234628127765,0.04658234628127765
Macro_Recall,0.040322813104873644,0.038881876658457284,0.03674040016090629,0.034462047527767575,0.034462047527767575,0.036599014539897376,0.03650409356290024,0.036252036556064175,0.036420224511915164,0.036420224511915164
Weighted_F1,0.040575138834119485,0.039739711944169,0.038382747791697855,0.03855401264199887,0.03855401264199887,0.039308350619832594,0.037786842422567954,0.03710667672237207,0.03768342119605274,0.03768342119605274
Weighted_Precision,0.04103079244558136,0.03975648787547866,0.03935710462538584,0.03746723941863521,0.03746723941863521,0.038517795576361,0.038084755649618565,0.03867100879164402,0.03796140840278835,0.03796140840278835
