Metric,Scaler:standard,Model:random_forest,FeatureNum:5.0,Split_Ratio:0.1,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,Norm_Order:last,Model:XGBmodel,FeatureNum:6.0,FeatureNum:4.0
Accuracy,0.09913836057944134,0.10759422905414118,0.09677297193864344,0.09690142683970819,0.09567433408113739,0.09665254548018658,0.09835827853819487,0.09711057614477928,0.09369036270845378,0.09045371582359367
Macro_F1,0.10220273660518031,0.11167241495451374,0.09894202564761832,0.09848613373526487,0.09753359384996245,0.09830080947565416,0.100834002098917,0.09969815938668652,0.0947149158642211,0.09134782616810269
Macro_Precision,0.06991612680519553,0.06594433742886713,0.06971210578260885,0.07264627812268695,0.0701895600139353,0.06880474479884069,0.07168832444854822,0.062051932528292296,0.06944511154153091,0.06661467838892243
Macro_Recall,0.07629770804445948,0.07867740601138892,0.07628841087396697,0.07633469809515402,0.07419788650175393,0.07485820267795608,0.07671817499670834,0.06920424094949275,0.07309965105881926,0.07252734262831498
Weighted_F1,0.11506120641336748,0.12728613803392558,0.11027536804570279,0.10977698177493575,0.10929346300893207,0.1100700721028597,0.11343362054150227,0.11431334584758364,0.10581178504683746,0.10117083650326907
Weighted_Precision,0.06572894327975934,0.06137242682522909,0.06534207259833522,0.06891547241674578,0.0663595131570051,0.06412637471020037,0.06882595325108336,0.05934123798204696,0.0646732546678056,0.062323453477271785
