Metric,FeatureNum:5.0,Prob_Threshold:0.5,FS_Method:infgain,Scaler:standard,FeatureNum:4.0,FS_Method:noSelect,FeatureNum:8.0,Norm_Order:first,Norm_Order:last,AugName:noAug
Accuracy,0.038943709596354105,0.03609288460773972,0.037123254098873085,0.03399181506768522,0.03464175661701264,0.04143733938365528,0.04143733938365528,0.03475920422705706,0.034738627530647284,0.034708585285151444
Macro_F1,0.03834831665144658,0.03325384440057943,0.03501444459852181,0.03367679982586529,0.03329510876310784,0.03522220343738981,0.03522220343738981,0.03214175424292163,0.03212282398385733,0.032094997484200756
Macro_Precision,0.04169888403267385,0.03844110446435521,0.039070301064872165,0.03608443884085816,0.03763694237422839,0.03841253117799414,0.03841253117799414,0.03548906860808532,0.03542872671471289,0.03541776016082919
Macro_Recall,0.038613392649217676,0.030691142160585085,0.0344027907828202,0.03425801496913971,0.03298872842231985,0.03168648678422039,0.03168648678422039,0.03144796817798198,0.03140638835584674,0.031390712854175475
Weighted_F1,0.03655363160297098,0.03295447276591957,0.03414194686088429,0.03197417788595008,0.03202429429573913,0.03706641151642753,0.03706641151642753,0.031785286388082444,0.03177240851914081,0.03174196400156318
Weighted_Precision,0.03665777621673717,0.031506917989734956,0.03337801899344692,0.03199080592353308,0.032106818143085865,0.031468504633364314,0.031468504633364314,0.030289697946460234,0.030239925411774907,0.030229701215284527
