Metric,Split_Ratio:0.1,Scaler:standard,Model:random_forest,FeatureNum:5.0,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,ImblName:ADASYN,Norm_Order:last,Model:XGBmodel,FeatureNum:6.0
Accuracy,0.6780291467791468,0.6759491087616089,0.6619696275946276,0.6754179944284111,0.6738009747775373,0.6737561628186628,0.644211112961113,0.667598026973027,0.6767943861693863,0.6748504389129389
Macro_F1,0.6599155581692137,0.6573048692641797,0.64465105059757,0.6578852974824039,0.6555712776015821,0.6555686737241848,0.6314449821824616,0.6493258774657268,0.6590817713708086,0.6553959217514952
Macro_Precision,0.6899619288526909,0.6884499335503421,0.6797740687088977,0.6867325774639608,0.6844916689295584,0.6849246891834021,0.6759610433776444,0.6812335975412495,0.6890684664747427,0.6843887152829454
Macro_Recall,0.6886667293183496,0.6866593858816081,0.6800950607391579,0.6865439850537266,0.6840622240440672,0.6841726519633059,0.6756137350625198,0.6795487545504907,0.6895244044792657,0.6824822423696845
Weighted_F1,0.6747849310934108,0.672065129221651,0.6564061657525335,0.6726775967889709,0.6707188671900531,0.6706728390606893,0.6385164014258176,0.6638079144872083,0.6728645129798418,0.6714941118938592
Weighted_Precision,0.7308271488734941,0.7293496390065952,0.7229698521360626,0.7279213703953005,0.7255361056982712,0.7261124111083556,0.7250645176553296,0.722957201237082,0.7300447967713896,0.7245947209995637
