Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.6097537011150148,0.048000252131046355,1
FeatureNum,0.09845385565077945,0.004854574131974411,2
Prob_Threshold,0.05698784036822707,0.01985360487603013,3
FS_Method_biMaxInfgain,0.026041152558096272,0.001640737293843356,4
Model_sklearn_SVM,0.025653708848365906,0.012942153094271559,5
FS_Method_infgain,0.02519337616431683,0.0022603227648210046,6
Norm_Order_first,0.02250201577455868,0.0010331599040249017,7
Norm_Order_last,0.022180578704585372,0.0010111097815994254,8
Scaler_standard,0.02082515923293519,0.0038213114881547323,9
Scaler_minmax,0.020362765787896555,0.003755474780042893,10
