Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.522725697647537,0.041360543466432614,1
Split_Ratio,0.10898566188588317,0.011839821595780406,2
FeatureNum,0.10656521116937494,0.011157705767659648,3
Model_LogisticRegression,0.044497376248102676,0.008391657571541967,4
FS_Method_biMaxInfgain,0.031090194353814854,0.004516025877265743,5
Norm_Order_first,0.027450008824966062,0.002728914575771685,6
Norm_Order_last,0.02737726095986932,0.002970190860181606,7
FS_Method_infgain,0.024872404189337324,0.004348873164986931,8
Scaler_standard,0.02172605333463666,0.0028560549107135057,9
Scaler_minmax,0.021462613846605128,0.0035765201832550276,10
