Metric,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,Model:GradientBoosting,Prob_Threshold:0.5,Model:random_forest,FeatureNum:6.0,FS_Method:biMaxInfgain,FeatureNum:5.0,Scaler:standard
Accuracy,0.735930735930736,0.7212301587301587,0.7115800865800865,0.7123015873015873,0.7183742183742183,0.7067099567099567,0.7112418831168831,0.7094155844155844,0.7084686147186147,0.7080928330928331
Macro_F1,0.7028034414416775,0.6923262994731922,0.6887319013718083,0.6879442237505393,0.6855858694423687,0.6870891188478473,0.6851809804567557,0.6852551205315796,0.6825565727642572,0.6824346049722763
Macro_Precision,0.7121413159123704,0.7006855022766999,0.6897295523891755,0.6893329906926492,0.6930074002573412,0.6886058329131273,0.6882579314385923,0.6874491129845631,0.6854015474977929,0.68488159064586
Macro_Recall,0.6997093621399177,0.6932998971193416,0.6940329218106995,0.6918672839506174,0.6830358367626886,0.6964351851851851,0.6881674382716049,0.6896228780864199,0.6854552469135803,0.685787037037037
Weighted_F1,0.7321532341506267,0.7196627458786663,0.7134014871508271,0.7135086549800996,0.7156061114239471,0.7096756588669976,0.7116714339655063,0.7107277839573091,0.7091484337859799,0.7088744731500628
Weighted_Precision,0.7335799769812044,0.7262298142047929,0.720894886209851,0.7194373155040519,0.7169351118605728,0.7226273416186938,0.7174553313770285,0.7178925849054448,0.7148704360166441,0.7147866582704824
