Metric,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Scaler:standard,Model:random_forest,FS_Method:biMaxInfgain
Accuracy,0.7902236652236652,0.7895021645021645,0.7932449494949495,0.777958152958153,0.7709009740259741,0.7709009740259741,0.7712053571428572,0.7699314574314575,0.7650613275613276,0.7676373106060606
Macro_F1,0.7719651486681438,0.7706693710210005,0.7669277978949185,0.760403143101304,0.7501952087814732,0.7501952087814732,0.7510148123806591,0.7493153179234704,0.747415311136835,0.7465299840820337
Macro_Precision,0.7825871477249285,0.774234101254926,0.7807242345174372,0.7643374023567827,0.7591081087873408,0.7591081087873408,0.7558082590365968,0.7540067447936999,0.7544410585942194,0.7511161144912379
Macro_Recall,0.7803215020576132,0.7753883744855967,0.765315072016461,0.7690234910836763,0.7573533950617284,0.7573533950617284,0.756988811728395,0.7545018861454047,0.7588760288065843,0.7518455825617284
Weighted_F1,0.7898852265405479,0.7897852463625348,0.7897669322346718,0.7789651061759767,0.7705847256993241,0.7705847256993241,0.7714695285757719,0.7701356711160814,0.7660923212681428,0.7677083204624608
Weighted_Precision,0.8067411581926988,0.7973102871958054,0.7964082090394315,0.7914032106250318,0.7846702161770542,0.7846702161770542,0.7813491701203911,0.7790598351508569,0.7839521800511492,0.7765671265096676
