Cluster,Part
1,AugName:gaussian_noise
8,AugName:mixup
8,AugName:noAug
8,Model:sklearn_SVM
3,FS_Method:biMaxInfgain
3,FS_Method:biMeanInfgain
3,FeatureNum:4.0
3,FeatureNum:5.0
3,FeatureNum:6.0
3,Model:GradientBoosting
3,Model:XGBmodel
3,Norm_Order:first
3,Scaler:standard
4,FS_Method:infgain
4,FS_Method:noSelect
4,FeatureNum:7.0
4,FeatureNum:8.0
4,Norm_Order:last
4,Scaler:minmax
4,Split_Ratio:0.2
6,ImblName:ADASYN
6,Prob_Threshold:0.35
5,ImblName:RandomUnderSampler
5,ImblName:SMOTE
5,Model:random_forest
9,ImblName:TomekLinks
9,ImblName:noImbl
9,Prob_Threshold:0.5
2,Model:DTmodel
10,Model:LogisticRegression
10,Random_State:42.0
10,Random_State:7.0
10,Split_Ratio:0.1
7,Random_State:2026.0
