Part_Label,FeatureNum:4.0,FeatureNum:7.0,Model:GradientBoosting,FS_Method:biMaxInfgain,FeatureNum:6.0,Scaler:standard,AugName:noAug,FS_Method:infgain,ImblName:noImbl,Model:random_forest,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Split_Ratio:0.2,FeatureNum:5.0,FS_Method:noSelect,FeatureNum:8.0,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Model:DTmodel
FeatureNum:4.0,,,0.9750917640102937,0.9925075861792216,,0.9887899094673858,0.9997770269111804,0.9983858069167466,0.9997770269111804,0.9962186045015463,0.9997930486857849,0.9997599854542575,0.9997770269111804,0.9963625696284462,0.9997770269111804,,0.999384915980053,,0.9794285685759536,0.9951889242718288,0.945730723346359,0.8729182553242874
FeatureNum:7.0,,,0.9794197844582245,0.9945991654635303,,0.9918332015083569,0.9998107045140557,0.99682897753655,0.9998107045140557,0.9969833918996216,0.9998086838488227,0.9998116969905972,0.9998107045140557,0.9939982749615569,0.9998107045140557,,0.9985460385646419,,0.9744645932528083,0.9964786644863282,0.9386329217121617,0.883803627583833
Model:GradientBoosting,0.9750917640102937,0.9794197844582245,,0.9946959478345534,0.9829042767079265,0.9968994467197958,0.9792720769867982,0.9609440514981998,0.9792720769867982,,0.9790812517806888,0.9794618064537268,0.9792720769867982,0.9533118775589048,0.9792720769867982,0.9837877719089808,0.9673143025362424,0.9673143025362424,,,,
FS_Method:biMaxInfgain,0.9925075861792216,0.9945991654635303,0.9946959478345534,,0.9965294328579632,0.9992593998893803,0.9947966483783619,,0.9947966483783619,0.9986296132749,0.9947031704684259,0.9948890603077568,0.9947966483783619,0.9791349045244232,0.9947966483783619,0.9969923020646889,,0.987958033661098,0.9487672683478787,0.999272328075662,0.89908549764018,0.9241362226269629
FeatureNum:6.0,,,0.9829042767079265,0.9965294328579632,,0.9934275339245051,0.999746374696595,0.9953473229181036,0.999746374696595,0.9989562466812885,0.9997251364690101,0.999766575778037,0.999746374696595,0.992613380623614,0.999746374696595,,0.9970899536861596,,0.9714481299165364,0.9982104749529118,0.9321939179780989,0.8898637475215061
Scaler:standard,0.9887899094673858,0.9918332015083569,0.9968994467197958,0.9992593998893803,0.9934275339245051,,0.9914911900336839,0.9787734428781926,0.9914911900336839,0.995929594417566,0.9913762868713777,0.99160502055143,0.9914911900336839,,0.9914911900336839,0.9938423712812182,0.983709581880246,0.983709581880246,0.9389513385483012,0.9974219948933577,0.8870291227122229,0.9356419026883214
AugName:noAug,0.9997770269111804,0.9998107045140557,0.9792720769867982,0.9947966483783619,0.999746374696595,0.9914911900336839,,0.9970583646195109,1.0,0.9977531485621485,0.9999994859207885,0.9999994864034443,1.0,0.9946085241491034,1.0,0.9993117668710099,0.9985201028595729,0.9985201028595729,0.9755916627918175,0.9970343364716332,0.9389886718867058,0.8819426392982083
FS_Method:infgain,0.9983858069167466,0.99682897753655,0.9609440514981998,,0.9953473229181036,0.9787734428781926,0.9970583646195109,,0.9970583646195105,0.9903438929937813,0.9971271357335149,0.9969886013847219,0.9970583646195105,0.9994906751572614,0.9970583646195105,0.9942463218889063,,0.999575420817958,0.9891643144023575,0.9885344447343104,0.962588575077682,0.8439256803285858
ImblName:noImbl,0.9997770269111804,0.9998107045140557,0.9792720769867982,0.9947966483783619,0.999746374696595,0.9914911900336839,1.0,0.9970583646195105,,0.9977531485621485,0.9999994859207885,0.9999994864034443,1.0,0.9946085241491034,1.0,0.9993117668710099,0.9985201028595729,0.9985201028595729,0.9755916627918175,0.9970343364716332,0.9389886718867058,0.8819426392982083
Model:random_forest,0.9962186045015463,0.9969833918996216,,0.9986296132749,0.9989562466812885,0.995929594417566,0.9977531485621485,0.9903438929937813,0.9977531485621485,,0.9976971720359953,0.9978080736788035,0.9977531485621459,0.9870633118225591,0.9977531485621459,0.9993463308260213,0.9927534437864389,0.9927534437864389,,,,
